Sample_Name,Order_pre,Date_MMDDYYYY_pre,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Submerged_weight_pre,Dry_weight_pre,Notes_pre,Order_post,Date_MMDDYYYY_post,Submerged_weight_post,Dry_weight_post,double_single_dead,Notes_post,Actual_shell_pre_mg,Actual_shell_post_mg,Actual_shell_growth_mg,Actual_tissue_pre_mg,Actual_tissue_post_mg,Actual_tissue_growth_mg,Ratio_tissue_shell_mg,Phase_1_temp,Phase_1_DO,Phase_2.1_temp,Phase_2.1_DO,Phase1_Phase2_treat,...32,Phase_1_rep_R,Phase_2_rep_R,Ratio_tissue_shell_pre_mg,Phase1_Phase2_rep,Exclude_all,Exclude_pre_analysis,Phase1N_tissue,Phase1C_tissue,Phase1N_shell,Phase1C_shell,Phase1N_tissue_new,Phase1C_tissue_new,Phase1N_shell_new,Phase1C_shell_new
2024_Both01_Both06_O61,383,7/26/24,2024,Both,01,Both,06,O,61,87.1,230.6,NA,1148,8122024,185.4,487.5,NA,NA,135.58584,291.23406,155.64822,95.01416,196.26594,101.25178,0.650516787,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both06,0.700767573,Both01_Both06,NA,NA,6.724891313364801,37.79836211,0.40675752,22.66543744,,,,
2024_Both01_Both06_O62,388,7/26/24,2024,Both,01,Both,06,O,62,353.2,829.8,NA,1119,8122024,638.5,1348.2,NA,NA,556.92858,1008.6726,451.74402,272.87142,339.5274,66.65598,0.147552545,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both01,Both06,0.489957653,Both01_Both06,NA,NA,19.313233333047602,108.55321713584401,1.6707857400000001,93.09991285428602,,,,
2024_Both01_Cont01_O1,432,7/23/24,2024,Both,01,Cont,01,O,1,303.3,783.2,NA,19,8122024,660.1,1694,NA,NA,477.91692,1042.87404,564.95712,305.28308,651.12596,345.84288,0.612157751,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont01,0.638778556,Both01_Cont01,NA,NA,21.607258673962402,121.4471654,1.4337507600000001,79.89179439,,,,
2024_Both01_Cont01_O2,172,7/23/24,2024,Both,01,Cont,01,O,2,118.4,312.6,NA,41,8122024,284.9,676.6,NA,NA,185.14626,448.78236,263.6361,127.45374,227.81764,100.3639,0.380691036,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont01,0.688394894,Both01_Cont01,NA,NA,9.02089277,50.70341743,0.55543878,30.950289301542004,,,,
2024_Both01_Cont02_O13,481,7/23/24,2024,Both,01,Cont,02,O,13,394.4,1000.3,NA,222,8122024,722.3,1613.8,NA,NA,622.16466,1141.36152,519.19686,378.13534,472.43848,94.30314,0.181632724,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont02,0.607773736,Both01_Cont02,NA,NA,26.763579904745203,150.42912031518802,1.86649398,104.00521306882202,,,,
2024_Both01_Cont02_O14,485,7/23/24,2024,Both,01,Cont,02,O,14,799.6,2212.5,NA,229,8122024,1138.2,3017.5,NA,NA,1263.75834,1799.89758,536.13924,948.74166,1217.60242,268.86076,0.501475624,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont02,0.750730286,Both01_Cont02,NA,NA,67.14982848831481,377.4266994,3.79127502,211.25831129527805,,,,
2024_Both01_Cont03_O25,356,7/24/24,2024,Both,01,Cont,03,O,25,160.3,398,NA,402,8122024,362,967.5,NA,NA,251.49072,570.8625,319.37178,146.50928,396.6375,250.12822,0.783188233,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont03,0.582563365,Both01_Cont03,NA,NA,10.36960159,58.28405805,0.75447216,42.04087374,,,,
2024_Both01_Cont04_O37,620,7/24/24,2024,Both,01,Cont,04,O,37,192.5,462.7,NA,594,8122024,325.1,765,NA,NA,302.4762,512.43504,209.95884,160.2238,252.56496,92.34116,0.439806012,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont04,0.529707131,Both01_Cont04,NA,NA,11.34028487,63.73994371316001,0.9074285999999999,50.56394818254001,,,,
2024_Both01_Cont04_O38,624,7/24/24,2024,Both,01,Cont,04,O,38,203.8,504.5,NA,620,8122024,379.7,964.4,NA,NA,320.36862,598.88868,278.52006,184.13138,365.51132,181.37994,0.651227563,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont04,0.574748488,Both01_Cont04,NA,NA,13.032410304736402,73.25081415511602,0.96110586,53.554964988954005,,,,
2024_Both01_Cont05_O49,669,7/25/24,2024,Both,01,Cont,05,O,49,192.5,523.8,NA,776,8122024,260.5,685.9,NA,NA,302.4762,410.1474,107.6712,221.3238,275.7526,54.4288,0.505509366,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont05,0.731706495,Both01_Cont05,NA,NA,15.664807225164003,88.04663573,0.9074285999999999,50.56394818254001,,,,
2024_Both01_Cont05_O50,672,7/25/24,2024,Both,01,Cont,05,O,50,107.6,287.3,NA,783,8122024,224.3,577.6,NA,NA,168.04554,352.82832,184.78278,119.25446,224.77168,105.51722,0.571033838,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont05,0.709655609,Both01_Cont05,NA,NA,8.440565933898801,47.44159462,0.5041366199999999,28.09161837,,,,
2024_Both01_Cont06_O61,729,7/25/24,2024,Both,01,Cont,06,O,61,117.9,327.5,NA,998,8122024,292.9,715.1,NA,NA,184.35456,461.44956,277.095,143.14544,253.65044,110.505,0.398798246,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont06,0.776468128,Both01_Cont06,NA,NA,10.131516460323201,56.94586127900801,0.55306368,30.81794343,,,,
2024_Both01_Cont06_O62,685,7/25/24,2024,Both,01,Cont,06,O,62,186.4,487.6,NA,1004,8122024,353.6,875.4,NA,NA,292.81746,557.56194,264.74448,194.78254,317.83806,123.05552,0.464808634,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both01,Cont06,0.665201249,Both01_Cont06,NA,NA,13.78627576,77.48803945422802,0.8784523799999999,48.949328490582005,,,,
2024_Both01_Hyp01_O1,779,7/23/24,2024,Both,01,Hyp,01,O,1,451.2,943.7,NA,64,8122024,624.3,1323.6,NA,NA,712.10178,986.18832,274.08654,231.59822,337.41168,105.81346,0.386058578,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp01,0.325231907,Both01_Hyp01,NA,NA,16.39200786,92.13398700360402,2.13630534,119.03970462672599,,,,
2024_Both01_Hyp01_O2,115,7/23/24,2024,Both,01,Hyp,01,O,2,101.5,249.7,NA,56,8122024,214.5,532.7,NA,NA,158.3868,337.311,178.9242,91.3132,195.389,104.0758,0.581675369,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp01,0.576520266,Both01_Hyp01,NA,NA,6.462945581,36.326052860240004,0.4751604,26.47699868,,,,
2024_Both01_Hyp02_O13,826,7/23/24,2024,Both,01,Hyp,02,O,13,241.6,698.6,NA,320,8122024,390.1,952.3,NA,NA,380.22114,615.35604,235.1349,318.37886,336.94396,18.5651,0.078955102,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp02,0.837351811,Both01_Hyp02,NA,NA,22.53414891,126.65690500325199,1.1406634199999999,63.56031324,,,,
2024_Both01_Hyp02_O14,830,7/23/24,2024,Both,01,Hyp,02,O,14,360.2,891.1,NA,316,8122024,590.9,1332.9,NA,NA,568.01238,933.30276,365.29038,323.08762,399.59724,76.50962,0.209448768,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp02,0.568803835,Both01_Hyp02,NA,NA,22.86742449,128.53013543068403,1.70403714,94.95275512374602,,,,
2024_Both01_Hyp03_O25,874,7/24/24,2024,Both,01,Hyp,03,O,25,167.7,425.8,NA,508,8122024,317.4,775.1,NA,NA,263.20788,500.24286,237.03498,162.59212,274.85714,112.26502,0.473622163,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp03,0.617732721,Both01_Hyp03,NA,NA,11.507909299093601,64.68210451,0.78962364,43.99959271,,,,
2024_Both01_Hyp03_O26,878,7/24/24,2024,Both,01,Hyp,03,O,26,113.5,273.7,NA,513,8122024,198.4,473.5,NA,NA,177.3876,311.81826,134.43066,96.3124,161.68174,65.36934,0.486268088,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp03,0.542948887,Both01_Hyp03,NA,NA,6.816777858471999,38.31482561,0.5321627999999999,29.65329971,,,,
2024_Both01_Hyp04_O37,953,7/24/24,2024,Both,01,Hyp,04,O,37,214.6,501.7,NA,694,8122024,268.7,633.3,NA,NA,337.46934,423.13128,85.66194,164.23066,210.16872,45.93806,0.536271534,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp04,0.486653573,Both01_Hyp04,NA,NA,11.62388152,65.33394555,1.0124080199999999,56.413635918977995,,,,
2024_Both01_Hyp04_O38,958,7/24/24,2024,Both,01,Hyp,04,O,38,179.2,453.9,NA,709,8122024,237.4,601,NA,NA,281.41698,373.57086,92.15388,172.48302,227.42914,54.94612,0.596243153,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp04,0.612909072,Both01_Hyp04,NA,NA,12.20796524,68.61688454696402,0.84425094,47.04354787056601,,,,
2024_Both01_Hyp05_O49,1004,7/25/24,2024,Both,01,Hyp,05,O,49,326.1,791.4,NA,885,8122024,468,1133.9,NA,NA,514.01844,738.7029,224.68446,277.38156,395.1971,117.81554,0.524359985,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp05,0.539633481,Both01_Hyp05,NA,NA,19.63245103,110.3474329,1.54205532,85.92676635394801,,,,
2024_Both01_Hyp05_O50,119,7/25/24,2024,Both,01,Hyp,05,O,50,85.9,254.1,NA,870,8122024,102.6,284.2,NA,NA,133.68576,160.12854,26.44278,120.41424,124.07146,3.65722,0.13830694,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp05,0.900726001,Both01_Hyp05,NA,NA,8.522652587587201,47.90297621116801,0.4010572799999999,22.347807336191998,,,,
2024_Both01_Hyp06_O61,1076,7/26/24,2024,Both,01,Hyp,06,O,61,251.2,562.5,NA,1062,8122024,356.7,781.5,NA,NA,395.42178,562.47048,167.0487,167.07822,219.02952,51.9513,0.310994937,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp06,0.422531657,Both01_Hyp06,NA,NA,11.8254255,66.46675674,1.1862653399999998,66.10135407,,,,
2024_Both01_Hyp06_O62,1079,7/26/24,2024,Both,01,Hyp,06,O,62,212.3,493.8,NA,1080,8122024,322,783.1,NA,NA,333.82752,507.5265,173.69898,159.97248,275.5735,115.60102,0.665525036,Warm,Hyp,Ambient,Hyp,Warm/Hyp_Ambient/Hyp,NA,Both01,Hyp06,0.479206987,Both01_Hyp06,NA,NA,11.322497,63.639964043136004,1.00148256,55.804844887584004,,,,
2024_Both01_Warm01_O1,300,7/23/24,2024,Both,01,Warm,01,O,1,123.2,366.1,NA,128,8122024,119.4,363.2,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",192.74658,186.72966,-6.01692,173.35342,176.47034,3.11692,-0.518025834,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm01,0.899385193,Both01_Warm01,Y,NA,12.269570223007602,68.96314550824401,0.5782397399999999,32.22080971,,,,
2024_Both01_Warm01_O2,1149,7/23/24,2024,Both,01,Warm,01,O,2,95,274.8,NA,112,8122024,165.5,457.8,NA,NA,148.0947,259.7244,111.6297,126.7053,198.0756,71.3703,0.639348668,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm01,0.855569443,Both01_Warm01,NA,NA,8.967919848233999,50.40567438,0.4442840999999999,24.75650229,,,,
2024_Both01_Warm02_O13,1194,7/23/24,2024,Both,01,Warm,02,O,13,282.7,835.6,NA,273,8122024,590,1469.6,NA,NA,445.29888,931.8777,486.57882,390.30112,537.7223,147.42118,0.302974922,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm02,0.876492481,Both01_Warm02,NA,NA,27.624646805113603,155.268889,1.33589664,74.43914428,,,,
2024_Both01_Warm02_O14,922,7/23/24,2024,Both,01,Warm,02,O,14,215.4,538,NA,272,8122024,414.7,1000.1,NA,NA,338.73606,654.30768,315.57162,199.26394,345.79232,146.52838,0.464326862,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm02,0.588257241,Both01_Warm02,NA,NA,14.10345931,79.27082194,1.01620818,56.62538932,,,,
2024_Both01_Warm03_O25,1240,7/24/24,2024,Both,01,Warm,03,O,25,136.2,358.3,NA,474,8122024,299.2,729.5,NA,NA,213.33078,471.42498,258.0942,144.96922,258.07502,113.1058,0.438234567,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm03,0.679551352,Both01_Warm03,NA,NA,10.260599559931602,57.67139415580401,0.63999234,35.6618025,,,,
2024_Both01_Warm03_O26,1245,7/24/24,2024,Both,01,Warm,03,O,26,118.8,328.4,NA,468,8122024,222.4,589.5,NA,NA,185.77962,349.81986,164.04024,142.62038,239.68014,97.05976,0.591682626,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm03,0.76768582,Both01_Warm03,NA,NA,10.094353879156401,56.73698285491601,0.55733886,31.056166,,,,
2024_Both01_Warm04_O37,1288,7/24/24,2024,Both,01,Warm,04,O,37,106.5,291.6,NA,627,8122024,382.8,685.6,NA,1/17/25 SKM excluded because of extreme tissue loss compared to size; likely dead,166.3038,603.79722,437.49342,125.2962,81.80278,-43.49342,-0.099415027,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm04,0.753417541,Both01_Warm04,Y,NA,8.868186878436001,49.84510875,0.4989114,27.80045744,,,,
2024_Both01_Warm04_O38,924,7/24/24,2024,Both,01,Warm,04,O,38,231,538.8,NA,648,8122024,329.8,742.3,NA,NA,363.4371,519.87702,156.43992,175.3629,222.42298,47.06008,0.30081887,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm04,0.48251238,Both01_Warm04,NA,NA,12.411796756362001,69.76255322,1.0903113,60.75458066,,,,
2024_Both01_Warm05_O49,301,7/25/24,2024,Both,01,Warm,05,O,49,141,366.2,NA,839,8122024,232.8,573.7,NA,NA,220.9311,366.28722,145.35612,145.2689,207.41278,62.14388,0.427528473,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm05,0.657530334,Both01_Warm05,NA,NA,10.28181025,57.790612313980006,0.6627932999999999,36.93232291,,,,
2024_Both01_Warm05_O50,1343,7/25/24,2024,Both,01,Warm,05,O,50,359.9,899.8,NA,824,8122024,559.4,1301.3,NA,NA,567.53736,883.42566,315.8883,332.26264,417.87434,85.6117,0.271018901,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm05,0.585446287,Both01_Warm05,NA,NA,23.51681204,132.1801254,1.7026120800000002,94.87334759791202,,,,
2024_Both01_Warm06_O61,1386,7/25/24,2024,Both,01,Warm,06,O,61,388.1,936.1,NA,1033,8122024,646.6,1476,NA,NA,612.18924,1021.49814,409.3089,323.91076,454.50186,130.5911,0.319052676,Warm,Hyp,Warm,Norm,Warm/Hyp_Warm/Norm,NA,Both01,Warm06,0.529102341,Both01_Warm06,NA,NA,22.925684510912802,128.8575955,1.8365677200000001,102.337655,,,,
2024_Both02_Both01_O3,9,7/23/24,2024,Both,02,Both,01,O,3,121.9,279.3,NA,148,8122024,140.1,322.1,NA,NA,190.68816,219.50604,28.81788,88.61184,102.59396,13.98212,0.485189056,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both01,0.464695029,Both02_Both01,NA,NA,6.271749317,35.25140269,0.57206448,31.876710436272003,,,,
2024_Both02_Both01_O4,16,7/23/24,2024,Both,02,Both,01,O,4,196.6,491.7,NA,167,8122024,292.4,734.3,NA,NA,308.96814,460.65786,151.68972,182.73186,273.64214,90.91028,0.599317343,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both01,0.591426223,Both02_Both01,NA,NA,12.933355386070803,72.69405962785201,0.9269044200000001,51.64918437,,,,
2024_Both02_Both02_O15,58,7/23/24,2024,Both,02,Both,02,O,15,291.7,768.5,NA,374,8122024,458.6,1160.5,NA,NA,459.54948,723.81894,264.26946,308.95052,436.68106,127.73054,0.483334472,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both02,0.67229,Both02_Both02,NA,NA,21.86683194,122.90613975546401,1.37864844,76.82137006,,,,
2024_Both02_Both02_O16,62,7/23/24,2024,Both,02,Both,02,O,16,308.6,880.6,NA,372,8122024,513.8,1346.3,NA,NA,486.30894,811.22262,324.91368,394.29106,535.07738,140.78632,0.433303762,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both02,0.81078308,Both02_Both02,NA,NA,27.907045900646803,156.8561598,1.45892682,81.29466068029801,,,,
2024_Both02_Both03_O27,139,7/24/24,2024,Both,02,Both,03,O,27,116.7,264.2,NA,549,8122024,186.8,435.9,NA,NA,182.45448,293.45082,110.99634,81.74552,142.44918,60.70366,0.546897853,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both03,0.448032408,Both02_Both03,NA,NA,5.785766431,32.51985562,0.5473634399999999,30.500313321815998,,,,
2024_Both02_Both03_O28,177,7/24/24,2024,Both,02,Both,03,O,28,113.7,315.3,NA,560,8122024,222.7,561.1,NA,NA,177.70428,350.29488,172.5906,137.59572,210.80512,73.2094,0.424179532,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both03,0.774296038,Both02_Both03,NA,NA,9.738719599,54.73808166,0.53311284,29.706238063476004,,,,
2024_Both02_Both04_O39,219,7/24/24,2024,Both,02,Both,04,O,39,79.7,205.9,NA,759,8122024,85.5,222.6,NA,NA,123.86868,133.0524,9.18372,82.03132,89.5476,7.51628,0.818435231,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both04,0.662244241,Both02_Both04,NA,NA,5.8059947200696005,32.63355207,0.37160603999999997,20.70671847,,,,
2024_Both02_Both04_O40,226,7/24/24,2024,Both,02,Both,04,O,40,320.9,813.9,NA,740,8122024,468.3,1070.2,NA,NA,505.78476,739.17792,233.39316,308.11523999999997,331.02208,22.90684,0.098147007,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both04,0.609182531,Both02_Both04,NA,NA,21.80771267,122.5738502,1.51735428,84.55036923949201,,,,
2024_Both02_Both05_O51,267,7/25/24,2024,Both,02,Both,05,O,51,127.2,320.8,NA,914,8122024,199.4,479.6,NA,NA,199.08018,313.40166,114.32148,121.71982,166.19834,44.47852,0.389065292,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both05,0.611411041,Both02_Both05,NA,NA,8.615058641599601,48.42235969672401,0.59724054,33.279576726006006,,,,
2024_Both02_Both05_O52,273,7/25/24,2024,Both,02,Both,05,O,52,228,513.9,NA,935,8122024,403.8,813.1,NA,NA,358.6869,637.04862,278.36172,155.2131,176.05138,20.83828,0.074860437,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both05,0.432725868,Both02_Both05,NA,NA,10.985638644918001,61.74659606,1.0760607,59.96050541,,,,
2024_Both02_Both06_O63,392,7/26/24,2024,Both,02,Both,06,O,63,139.7,343.1,NA,1138,8122024,200.8,489.6,NA,NA,218.87268,315.61842,96.74574,124.22732,173.98158,49.75426,0.514278562,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both06,0.567578009,Both02_Both06,NA,NA,8.792533925,49.41988883322401,0.65661804,36.58822364,,,,
2024_Both02_Both06_O64,395,7/26/24,2024,Both,02,Both,06,O,64,101.3,261.3,NA,1149,8122024,66.2,222,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",158.07012,102.49278,-55.57734,103.22988,119.50722,16.27734,-0.292877277,Warm,Hyp,Warm,Hyp,Warm/Hyp_Warm/Hyp,NA,Both02,Both06,0.653063843,Both02_Both06,Y,NA,7.306381736,41.06672505,0.47421036,26.42406033,,,,
2024_Both02_Cont01_O3,438,7/23/24,2024,Both,02,Cont,01,O,3,90.6,266.4,NA,38,8122024,61.4,229.8,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",141.12774,94.89246,-46.23528,125.27226,134.90754,9.63528,-0.208396705,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both02,Cont01,0.88765157,Both02_Cont01,Y,NA,8.866492458382801,49.83558498,0.42338322,23.591858574257998,,,,
2024_Both02_Cont01_O4,137,7/23/24,2024,Both,02,Cont,01,O,4,110.2,263.8,NA,27,8122024,211.3,495.2,NA,NA,172.16238,332.24412,160.08174,91.63762,162.95588,71.31826,0.445511524,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both02,Cont01,0.532274356,Both02_Cont01,NA,NA,6.4859073080836005,36.45511304,0.5164871400000001,28.779816928746005,,,,
2024_Both02_Cont02_O15,486,7/23/24,2024,Both,02,Cont,02,O,15,248.6,676.9,NA,208,8122024,422.5,966.8,NA,NA,391.30494,666.6582,275.35326,285.59506,300.1418,14.54674,0.052829373,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both02,Cont02,0.729852938,Both02_Cont02,NA,NA,20.213784325766802,113.61491269809201,1.17391482,65.41315551,,,,
2024_Both02_Cont02_O16,493,7/23/24,2024,Both,02,Cont,02,O,16,638.7,1486,NA,200,8122024,1192.3,2584,NA,NA,1008.98928,1885.55952,876.57024,477.01072,698.44048,221.42976,0.25260926,Warm,Hyp,Ambient,Norm,Warm/Hyp_Ambient/Norm,NA,Both02,Cont02,0.47276094,Both02_Cont02,NA,NA,33.7617598,189.763546,3.0269678399999997,168.6694083,,,,
