,Sample_Name,Phase_1_DO,Phase_1_temp,Phase_2.1_DO,Phase_2.1_temp,Phase_1_treat,Phase_2_treat,Phase_1_rep_R,Phase_2_rep_R,Actual_shell_pre_mg,Actual_tissue_pre_mg,Actual_shell_post_mg,Actual_tissue_post_mg,Actual_shell_growth_mg,Actual_tissue_growth_mg,Exclude_all,Exclude_pre_analysis,Notes_pre,Notes_post,Area_pre_mm2,Feret_pre_mm,AreaNotes_Pre,Area_post_mm2,Feret_post_mm,AreaNotes_Post,Area_growth_mm2,Feret_growth_mm,Order_year2,Date_MMDDYYYY_year2,Year,Phase_1_rep,Phase_2_rep,Tag_color,Tag_num,Submerged_weight_year2,Dry_weight_year2,double_single_dead_year2,Notes_year2,Actual_shell_year2_mg,Actual_tissue_year2_mg,Actual_shell_growth_year2_mg,Actual_tissue_growth_year2_mg,Ratio_TS_year2,Exclude_year2
11,2024_Both01_Cont06_O61,Hyp,Warm,Norm,Ambient,Both,Cont,Both01,Cont06,184.35456,143.14544,461.44956,253.65044,277.095,110.505,NA,NA,NA,NA,151.8,17,NA,280.2,22.9,NA,128.4,5.9,502,08252025,2025,01,06,O,61,1658.8,3751.4,NA,Had to pull off of meso mesh,2624.21562,1127.18438,2162.76606,873.53394,0.403896638,NA
12,2024_Both01_Cont06_O62,Hyp,Warm,Norm,Ambient,Both,Cont,Both01,Cont06,292.81746,194.78254,557.56194,317.83806,264.74448,123.05552,NA,NA,NA,NA,197.4,18.5,NA,286.2,24.6,NA,88.8,6.1,497,08252025,2025,01,06,O,62,1107.9,2519.6,NA,NA,1751.92056,767.67944,1194.35862,449.84138,0.376638451,NA
13,2024_Both01_Hyp02_O13,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both01,Hyp02,380.22114,318.37886,615.35604,336.94396,235.1349,18.5651,NA,NA,NA,NA,311.4,23.8,NA,326.9,23.1,NA,15.5,-0.7,167,08272025,2025,01,02,O,13,946.9,2535,NA,NA,1496.99316,1038.00684,881.63712,701.06288,0.795183034,NA
14,2024_Both01_Hyp02_O14,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both01,Hyp02,568.01238,323.08762,933.30276,399.59724,365.29038,76.50962,NA,NA,NA,NA,334.3,23.2,NA,355.4,26.2,NA,21.1,3,150,08272025,2025,01,02,O,14,1388.6,3138.9,NA,NA,2196.38094,942.51906,1263.07818,542.92182,0.429840234,NA
15,2024_Both01_Hyp03_O25,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both01,Hyp03,263.20788,162.59212,500.24286,274.85714,237.03498,112.26502,NA,NA,NA,NA,161.5,16.3,NA,235.7,19.5,NA,74.2,3.2,245,08262025,2025,01,03,O,25,682.4,1524.5,NA,NA,1078.18386,446.31614,577.941,171.459,0.296672152,NA
16,2024_Both01_Hyp03_O26,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both01,Hyp03,177.3876,96.3124,311.81826,161.68174,134.43066,65.36934,NA,NA,NA,NA,142.6,15.4,NA,157.2,17.2,NA,14.6,1.8,264,08262025,2025,01,03,O,26,461.4,1100.8,NA,NA,728.25246,372.54754,416.4342,210.8658,0.506360429,NA
17,2024_Both01_Hyp04_O38,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both01,Hyp04,281.41698,172.48302,373.57086,227.42914,92.15388,54.94612,NA,NA,NA,NA,180.9,18.1,NA,214.2,18.4,NA,33.3,0.3,361,08262025,2025,01,04,O,38,320.7,779.8,NA,NA,505.46808,274.33192,131.89722,46.90278,0.355600975,NA
18,2024_Both01_Warm01_O1,Hyp,Warm,Norm,Warm,Both,Warm,Both01,Warm01,192.74658,173.35342,186.72966,176.47034,-6.01692,3.11692,Y,NA,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",137.3,15.1,NA,155.7,14.9,NA,18.4,-0.2,48,08272025,2025,01,01,O,1,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
19,2024_Both01_Warm02_O13,Hyp,Warm,Norm,Warm,Both,Warm,Both01,Warm02,445.29888,390.30112,931.8777,537.7223,486.57882,147.42118,NA,NA,NA,NA,370.9,25.1,NA,449,25.9,NA,78.1,0.8,128,08272025,2025,01,02,O,13,908.8,2166.2,NA,NA,1436.66562,729.53438,504.78792,191.81208,0.37998548,NA
20,2024_Both01_Warm02_O14,Hyp,Warm,Norm,Warm,Both,Warm,Both01,Warm02,338.73606,199.26394,654.30768,345.79232,315.57162,146.52838,NA,NA,NA,NA,200,18,NA,301.5,21.2,NA,101.5,3.2,140,08272025,2025,01,02,O,14,642.9,1599.3,NA,NA,1015.63956,583.66044,361.33188,237.86812,0.658309253,NA
21,2024_Both01_Warm03_O25,Hyp,Warm,Norm,Warm,Both,Warm,Both01,Warm03,213.33078,144.96922,471.42498,258.07502,258.0942,113.1058,NA,NA,NA,NA,137,15.7,NA,181.6,19.4,NA,44.6,3.7,229,08262025,2025,01,03,O,25,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
22,2024_Both01_Warm03_O26,Hyp,Warm,Norm,Warm,Both,Warm,Both01,Warm03,185.77962,142.62038,349.81986,239.68014,164.04024,97.05976,NA,NA,NA,NA,113.4,14.3,NA,172.4,20,6/26/25 SKM Manually calculated post phase 2 data from remeasuring scales and converting from pixels,59,5.7,236,08262025,2025,01,03,O,26,546.2,1448.5,NA,NA,862.52478,585.97522,512.70492,346.29508,0.675427651,NA
23,2024_Both01_Warm06_O61,Hyp,Warm,Norm,Warm,Both,Warm,Both01,Warm06,612.18924,323.91076,1021.49814,454.50186,409.3089,130.5911,NA,NA,NA,NA,287.7,21.3,NA,350.5,25.7,NA,62.8,4.4,518,08252025,2025,01,06,O,61,839.9,1862.3,NA,NA,1327.56936,534.73064,306.07122,80.22878,0.262124547,NA
24,2024_Both01_Warm06_O62,Hyp,Warm,Norm,Warm,Both,Warm,Both01,Warm06,669.98334,2.71666,758.65374,419.64626,88.6704,416.9296,Y,Y,NA,12/20/24 SKM excluded because it looks like it might be a double in the photo,208.2,18.9,NA,291.8,24.8,NA,83.6,5.9,510,08252025,2025,01,06,O,62,818.5,1891.8,NA,NA,1293.6846,598.1154,535.03086,178.46914,0.333567937,NA
25,2024_Both02_Both02_O15,Hyp,Warm,Hyp,Warm,Both,Both,Both02,Both02,459.54948,308.95052,723.81894,436.68106,264.26946,127.73054,NA,NA,NA,NA,326.3,24.4,NA,367.9,25.2,NA,41.6,0.8,178,08272025,2025,02,02,O,15,804.7,2029.3,NA,NA,1271.83368,757.46632,548.01474,320.78526,0.585358817,NA
26,2024_Both02_Both02_O16,Hyp,Warm,Hyp,Warm,Both,Both,Both02,Both02,486.30894,394.29106,811.22262,535.07738,324.91368,140.78632,NA,NA,NA,NA,331.2,22.4,NA,368.2,24.4,NA,37,2,181,08272025,2025,02,02,O,16,891.6,2404.7,NA,NA,1409.43114,995.26886,598.20852,460.19148,0.769282724,NA
27,2024_Both02_Both03_O28,Hyp,Warm,Hyp,Warm,Both,Both,Both02,Both03,177.70428,137.59572,350.29488,210.80512,172.5906,73.2094,NA,NA,NA,NA,100.9,13,NA,167.3,15.7,NA,66.4,2.7,270,08262025,2025,02,03,O,28,674.3,1599.4,NA,NA,1065.35832,534.04168,715.06344,323.23656,0.452038997,NA
28,2024_Both02_Both04_O39,Hyp,Warm,Hyp,Warm,Both,Both,Both02,Both04,123.86868,82.03132,133.0524,89.5476,9.18372,7.51628,NA,NA,NA,NA,88.7,12.3,NA,97.8,12.8,NA,9.1,0.5,369,08262025,2025,02,04,O,39,213.4,514.3,NA,NA,335.56926,178.73074,202.51686,89.18314,0.440373903,NA
29,2024_Both02_Both06_O63,Hyp,Warm,Hyp,Warm,Both,Both,Both02,Both06,218.87268,124.22732,315.61842,173.98158,96.74574,49.75426,NA,NA,NA,NA,169.5,17.3,NA,186.6,17.7,NA,17.1,0.4,563,08252025,2025,02,06,O,63,505.8,1162.6,NA,NA,798.55542,364.04458,482.937,190.063,0.393556509,NA
30,2024_Both02_Both06_O64,Hyp,Warm,Hyp,Warm,Both,Both,Both02,Both06,158.07012,103.22988,102.49278,119.50722,-55.57734,16.27734,Y,NA,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",114.9,14.4,NA,125.1,14.8,NA,10.2,0.4,572,08252025,2025,02,06,O,64,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
31,2024_Both02_Cont01_O3,Hyp,Warm,Norm,Ambient,Both,Cont,Both02,Cont01,141.12774,125.27226,94.89246,134.90754,-46.23528,9.63528,Y,NA,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",71.7,12.1,NA,76.8,12.8,NA,5.1,0.7,24,08272025,2025,02,01,O,3,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
32,2024_Both02_Cont01_O4,Hyp,Warm,Norm,Ambient,Both,Cont,Both02,Cont01,172.16238,91.63762,332.24412,162.95588,160.08174,71.31826,NA,NA,NA,NA,95.9,12.7,NA,136.6,15.3,NA,40.7,2.6,22,08272025,2025,02,01,O,4,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
33,2024_Both02_Cont03_O28,Hyp,Warm,Norm,Ambient,Both,Cont,Both02,Cont03,230.74818,114.15182,454.95762,237.74238,224.20944,123.59056,NA,NA,NA,NA,134.8,15.1,NA,280.1,22.6,NA,145.3,7.5,215,08262025,2025,02,03,O,28,444.8,1038.6,NA,NA,701.96802,336.63198,247.0104,98.8896,0.400345896,NA
34,2024_Both02_Cont05_O51,Hyp,Warm,Norm,Ambient,Both,Cont,Both02,Cont05,233.75664,111.84336,508.3182,191.1818,274.56156,79.33844,NA,NA,NA,NA,169.2,17.1,NA,279.1,21.3,NA,109.9,4.2,402,08252025,2025,02,05,O,51,1800.8,4047.8,NA,Hit side of scale,2849.05842,1198.74158,2340.74022,1007.55978,0.430444938,NA
35,2024_Both02_Cont05_O52,Hyp,Warm,Norm,Ambient,Both,Cont,Both02,Cont05,230.58984,157.11016,360.2703,226.8297,129.68046,69.71954,NA,NA,NA,NA,129.7,13.5,NA,211,20.3,NA,81.3,6.8,398,08252025,2025,02,05,O,52,662.2,1593.9,NA,NA,1046.19918,547.70082,685.92888,320.87112,0.467790655,NA
36,2024_Both02_Cont06_O64,Hyp,Warm,Norm,Ambient,Both,Cont,Both02,Cont06,173.58744,92.31256,209.37228,117.52772,35.78484,25.21516,NA,NA,NA,NA,121.9,13.6,NA,132.5,14.3,NA,10.6,0.7,500,08252025,2025,02,06,O,64,297.6,708.3,NA,NA,468.89154,239.40846,259.51926,121.88074,0.469640442,NA
37,2024_Both02_Hyp01_O4,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both02,Hyp01,581.1546,382.8454,845.42406,492.07594,264.26946,109.23054,NA,NA,NA,NA,306.7,23.5,NA,387.9,26.2,NA,81.2,2.7,73,08272025,2025,02,01,O,4,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
38,2024_Both02_Hyp03_O27,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both02,Hyp03,119.43516,72.16484,96.95088,78.64912,-22.48428,6.48428,Y,NA,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",110.6,13.6,NA,96.9,12,NA,-13.7,-1.6,265,08262025,2025,02,03,O,27,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
39,2024_Both02_Hyp03_O28,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both02,Hyp03,451.47414,269.32586,789.3717,435.2283,337.89756,165.90244,NA,NA,NA,NA,216.7,19,NA,375.2,23,NA,158.5,4,246,08262025,2025,02,03,O,28,1497.6,3389.3,NA,NA,2368.97154,1020.32846,1579.59984,585.10016,0.370410369,NA
40,2024_Both02_Hyp04_O39,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both02,Hyp04,561.52044,207.67956,876.93372,311.26628,315.41328,103.58672,NA,NA,NA,NA,225.1,18.8,NA,300.2,22.5,NA,75.1,3.7,348,08262025,2025,02,04,O,39,979.3,2131.7,NA,NA,1548.29532,583.40468,671.3616,272.1384,0.405352942,NA
41,2024_Both02_Hyp06_O63,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both02,Hyp06,433.8984,229.6016,668.39994,334.40006,234.50154,104.79846,NA,NA,NA,NA,220.3,19.7,NA,267.6,21.2,NA,47.3,1.5,542,08252025,2025,02,06,O,63,707.4,1611.8,NA,NA,1117.76886,494.03114,449.36892,159.63108,0.355233913,NA
42,2024_Both02_Hyp06_O64,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both02,Hyp06,158.22846,109.77154,250.224,161.076,91.99554,51.30446,NA,NA,NA,NA,130.1,14.3,NA,154.5,15.8,NA,24.4,1.5,540,08252025,2025,02,06,O,64,225.5,580.3,NA,NA,354.7284,225.5716,104.5044,64.4956,0.61715679,NA
43,2024_Both02_Warm02_O15,Hyp,Warm,Norm,Warm,Both,Warm,Both02,Warm02,219.82272,101.87728,459.54948,175.05052,239.72676,73.17324,NA,NA,NA,NA,122.8,14.6,NA,191.2,16.6,NA,68.4,2,146,08272025,2025,02,02,O,15,371.9,847.2,NA,NA,586.53816,260.66184,126.98868,85.61132,0.674164973,NA
44,2024_Both02_Warm02_O16,Hyp,Warm,Norm,Warm,Both,Warm,Both02,Warm02,261.94116,179.25884,645.91566,280.08434,383.9745,100.8255,NA,NA,NA,NA,150.8,16.2,NA,247.6,20.7,NA,96.8,4.5,132,08272025,2025,02,02,O,16,587.8,1317.1,NA,NA,928.39422,388.70578,282.47856,108.62144,0.384529856,NA
45,2024_Both02_Warm03_O28,Hyp,Warm,Norm,Warm,Both,Warm,Both02,Warm03,275.71674,193.98326,446.72394,267.77606,171.0072,73.7928,NA,NA,NA,NA,236.4,19.5,NA,283.5,20.5,NA,47.1,1,224,08262025,2025,02,03,O,28,682.6,1596.7,NA,NA,1078.50054,518.19946,631.7766,250.4234,0.39637967,NA
46,2024_Both02_Warm04_O39,Hyp,Warm,Norm,Warm,Both,Warm,Both02,Warm04,629.13162,373.76838,1309.99362,656.00638,680.862,282.238,NA,NA,NA,NA,426.3,25.9,NA,477.3,29.1,NA,51,3.2,316,08262025,2025,02,04,O,39,1793.7,4175.6,NA,NA,2837.81628,1337.78372,1527.82266,681.77734,0.446241149,NA
47,2024_Both02_Warm06_O63,Hyp,Warm,Norm,Warm,Both,Warm,Both02,Warm06,504.04302,392.05698,777.65454,456.14546,273.61152,64.08848,NA,NA,NA,NA,247.4,25.8,NA,312.2,24,NA,64.8,-1.8,514,08252025,2025,02,06,O,63,957.1,2168.4,NA,NA,1513.14384,655.25616,735.4893,199.1107,0.27071869,NA
48,2024_Both02_Warm06_O64,Hyp,Warm,Norm,Warm,Both,Warm,Both02,Warm06,324.16878,251.43122,556.77024,337.02976,232.60146,85.59854,NA,NA,NA,NA,257.8,21.3,NA,298.1,21.9,NA,40.3,0.6,517,08252025,2025,02,06,O,64,410.4,1012.7,NA,NA,647.49906,365.20094,90.72882,28.17118,0.310498693,NA
49,2024_Both03_Both01_O6,Hyp,Warm,Hyp,Warm,Both,Both,Both03,Both01,634.9902,437.8098,914.4603,546.4397,279.4701,108.6299,NA,NA,NA,NA,395.4,27.2,"6/12/25 SKM added in unmatched data from ""extras"" to match extras areas to corresponding phase and tag information",424.3,27.3,NA,28.9,0.1,85,08272025,2025,03,01,O,6,1141.8,2693.7,NA,NA,1805.59782,888.10218,891.13752,341.66248,0.383400398,NA
50,2024_Both03_Both03_O29,Hyp,Warm,Hyp,Warm,Both,Both,Both03,Both03,696.42612,486.17388,946.92,621.48,250.49388,135.30612,NA,NA,NA,NA,297.1,20.6,NA,389,23.9,NA,91.9,3.3,281,08262025,2025,03,03,O,29,1055.5,2853.8,NA,NA,1668.9504,1184.8496,722.0304,563.3696,0.780257452,NA
51,2024_Both03_Both03_O30,Hyp,Warm,Hyp,Warm,Both,Both,Both03,Both03,122.7603,88.1397,273.975,187.125,151.2147,98.9853,NA,NA,NA,NA,118.2,15.1,NA,236,19.7,NA,117.8,4.6,275,08262025,2025,03,03,O,30,577.8,1364.3,NA,NA,912.56022,451.73978,638.58522,264.61478,0.414376612,NA
52,2024_Both03_Both05_O53,Hyp,Warm,Hyp,Warm,Both,Both,Both03,Both05,197.81346,109.08654,316.09344,161.20656,118.27998,52.12002,NA,NA,NA,"Missing oyster from this batch, must have taken for genetics",119.3,14.6,NA,160.4,17.1,NA,41.1,2.5,462,08252025,2025,03,05,O,53,293.9,680.2,NA,NA,463.03296,217.16704,146.93952,55.96048,0.380840226,NA
53,2024_Both03_Both05_O54,Hyp,Warm,Hyp,Warm,Both,Both,Both03,Both05,172.47906,94.72094,352.66998,193.73002,180.19092,99.00908,NA,NA,NA,NA,136.2,15.1,NA,213.2,19,NA,77,3.9,459,08252025,2025,03,05,O,54,368,903.8,NA,NA,580.3629,323.4371,227.69292,129.70708,0.569657941,NA
54,2024_Both03_Both06_O66,Hyp,Warm,Hyp,Warm,Both,Both,Both03,Both06,497.86776,290.73224,652.72428,345.67572,154.85652,54.94348,NA,NA,NA,NA,354.5,25.6,NA,272.7,21.5,NA,-81.8,-4.1,550,08252025,2025,03,06,O,66,647.8,1532.4,NA,NA,1023.39822,509.00178,370.67394,163.32606,0.440619214,NA
55,2024_Both03_Cont01_O6,Hyp,Warm,Norm,Ambient,Both,Cont,Both03,Cont01,227.73972,174.76028,314.03502,219.46498,86.2953,44.7047,NA,NA,NA,NA,128.7,15.9,NA,199.6,19.1,NA,70.9,3.2,4,08272025,2025,03,01,O,6,NA,NA,Dead,Dead,NA,NA,#VALUE!,#VALUE!,#VALUE!,Y
56,2024_Both03_Cont02_O17,Hyp,Warm,Norm,Ambient,Both,Cont,Both03,Cont02,975.57954,525.22046,1472.45046,651.54954,496.87092,126.32908,NA,NA,NA,NA,394.2,26.7,NA,536.9,30.5,NA,142.7,3.8,99,08272025,2025,03,02,O,17,1328.6,2977.9,NA,NA,2101.37694,876.52306,628.92648,224.97352,0.357710364,NA
57,2024_Both03_Cont02_O18,Hyp,Warm,Norm,Ambient,Both,Cont,Both03,Cont02,920.31888,585.68112,1739.09502,762.80498,818.77614,177.12386,NA,NA,NA,NA,484.2,30.7,NA,643.1,37.1,NA,158.9,6.4,121,08272025,2025,03,02,O,18,2027.8,5374.4,NA,NA,3208.49022,2165.90978,1469.3952,1403.1048,0.954885929,NA
58,2024_Both03_Cont04_O41,Hyp,Warm,Norm,Ambient,Both,Cont,Both03,Cont04,114.36828,75.03172,213.17244,122.92756,98.80416,47.89584,NA,NA,NA,NA,98.8,12.6,NA,138.3,15,NA,39.5,2.4,308,08262025,2025,03,04,O,41,308.8,771.1,NA,NA,486.62562,284.47438,273.45318,161.54682,0.590765922,NA
59,2024_Both03_Cont04_O42,Hyp,Warm,Norm,Ambient,Both,Cont,Both03,Cont04,227.73972,123.06028,585.27144,269.22856,357.53172,146.16828,NA,NA,NA,NA,181.8,16.5,NA,329.1,24.3,NA,147.3,7.8,293,08262025,2025,03,04,O,42,1173.3,2501.1,NA,NA,1855.47492,645.62508,1270.20348,376.39652,0.296327735,NA
60,2024_Both03_Cont05_O54,Hyp,Warm,Norm,Ambient,Both,Cont,Both03,Cont05,896.2512,436.3488,1238.42394,568.27606,342.17274,131.92726,NA,NA,NA,NA,295.1,25.4,NA,439.7,29,NA,144.6,3.6,408,08252025,2025,03,05,O,54,3219,7533.1,NA,NA,5094.6363,2438.4637,3856.21236,1870.18764,0.484980459,NA
61,2024_Both03_Hyp01_O5,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both03,Hyp01,500.71788,396.38212,899.73468,580.66532,399.0168,184.2832,NA,NA,NA,NA,312.6,21.8,NA,454.8,28.9,NA,142.2,7.1,57,08272025,2025,03,01,O,5,950.4,2535.3,NA,NA,1502.53506,1032.76494,602.80038,452.09962,0.749998897,NA
62,2024_Both03_Hyp01_O6,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both03,Hyp01,432.79002,298.50998,688.8258,445.7742,256.03578,147.26422,NA,NA,NA,NA,224.3,19,NA,291,21.7,NA,66.7,2.7,52,08272025,2025,03,01,O,6,1120.5,2673.5,NA,NA,1771.8714,901.6286,1083.0456,455.8544,0.420900468,NA
63,2024_Both03_Hyp02_O17,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both03,Hyp02,1126.47756,616.42244,1717.87746,916.72254,591.3999,300.3001,NA,NA,NA,NA,524.4,28.6,NA,494.5,27.2,NA,-29.9,-1.4,163,08272025,2025,03,02,O,17,2157.9,5204.4,NA,NA,3414.49056,1789.90944,1696.6131,873.1869,0.514664716,NA
64,2024_Both03_Hyp05_O53,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both03,Hyp05,270.17484,165.72516,374.99592,193.30408,104.82108,27.57892,NA,NA,NA,NA,192,17.6,NA,215.6,18.2,NA,23.6,0.6,449,08252025,2025,03,05,O,53,650.6,1491.9,NA,NA,1027.83174,464.06826,652.83582,270.76418,0.414750802,NA
65,2024_Both03_Hyp05_O54,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both03,Hyp05,637.84032,391.85968,774.01272,436.38728,136.1724,44.5276,NA,NA,NA,NA,291.8,22.9,NA,335.6,22.8,NA,43.8,-0.1,452,08252025,2025,03,05,O,54,1536.1,3537.1,NA,NA,2429.93244,1107.16756,1655.91972,670.78028,0.405080193,NA
66,2024_Both03_Hyp06_O65,Hyp,Warm,Hyp,Ambient,Both,Hyp,Both03,Hyp06,421.2312,218.7688,663.96642,276.93358,242.73522,58.16478,NA,NA,NA,NA,242.9,20.8,NA,285.4,21.4,NA,42.5,0.6,546,08252025,2025,03,06,O,65,580.6,1322.3,NA,NA,916.99374,405.30626,253.02732,128.37268,0.507347112,NA
67,2024_Both03_Warm03_O30,Hyp,Warm,Norm,Warm,Both,Warm,Both03,Warm03,674.89188,438.90812,987.45504,590.74496,312.56316,151.83684,NA,NA,NA,NA,393.5,27.1,NA,428.4,27.1,NA,34.9,0,235,08262025,2025,03,03,O,30,1132.6,2803.7,NA,NA,1791.03054,1012.66946,803.5755,421.9245,0.52505894,NA
68,2024_Both03_Warm05_O53,Hyp,Warm,Norm,Warm,Both,Warm,Both03,Warm05,214.91418,172.98582,397.95522,263.34478,183.04104,90.35896,NA,NA,NA,NA,151.3,16.3,NA,196.9,18,NA,45.6,1.7,426,08252025,2025,03,05,O,53,528.4,1260,NA,"Accidentally put these back in the water, wating another 1 hour after patting dry so they aren't out of the water too long",834.34026,425.65974,436.38504,162.31496,0.371953539,NA
69,2024_Both03_Warm05_O54,Hyp,Warm,Norm,Warm,Both,Warm,Both03,Warm05,297.25098,268.84902,606.64734,505.95266,309.39636,237.10364,NA,NA,NA,NA,298.2,21,NA,337.7,24.9,NA,39.5,3.9,410,08252025,2025,03,05,O,54,1096.3,2645.7,NA,NA,1733.55312,912.14688,1126.90578,406.19422,0.360450915,NA
