Tank_num,Date / Time,pH Value,mV Value,Temperature,Average Slope,Date / Time,Salinity Value,Conductance Value,Temperature,Salinity Type,Reference Temperature,Cell Constant,Date / Time,Concentration Value,Saturation Value,Partial Pressure,Solution Temperature,Barometric Pressure,Salinity Correction,Slope,,Notes
11,6/5/2024 15:01,7.19 pH,-3.8 mV,23.2 °C,98.80%,6/5/2024 15:01,8.891 psu,30.834 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:01,4.44 mg/L,54.8 % sat,84.4 Torr,23.1 °C,756.0 mmHg,8.9 ppt,1.549 Torr/%Sat,,
12,6/5/2024 15:03,7.19 pH,-3.8 mV,23.2 °C,98.80%,6/5/2024 15:03,8.987 psu,31.162 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:03,2.70 mg/L,33.4 % sat,51.5 Torr,23.1 °C,757.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
13,6/5/2024 15:05,7.27 pH,-8.4 mV,25.4 °C,98.80%,6/5/2024 15:05,8.914 psu,32.256 mS,25.4 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:05,2.89 mg/L,36.9 % sat,56.7 Torr,25.0 °C,756.0 mmHg,8.9 ppt,1.549 Torr/%Sat,,
14,6/5/2024 15:07,7.22 pH,-5.6 mV,23.6 °C,98.80%,6/5/2024 15:07,8.991 psu,31.405 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:07,1.66 mg/L,20.7 % sat,31.9 Torr,23.5 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
15,6/5/2024 15:09,7.24 pH,-6.9 mV,23.5 °C,98.80%,6/5/2024 15:09,8.996 psu,31.376 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:09,1.71 mg/L,21.2 % sat,32.7 Torr,23.4 °C,757.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
16,6/5/2024 15:10,7.26 pH,-7.7 mV,23.5 °C,98.80%,6/5/2024 15:10,8.995 psu,31.356 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:10,1.75 mg/L,21.8 % sat,33.6 Torr,23.4 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
17,6/5/2024 15:12,7.21 pH,-4.8 mV,23.6 °C,98.80%,6/5/2024 15:12,8.999 psu,31.413 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:12,1.64 mg/L,20.4 % sat,31.4 Torr,23.5 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
18,6/5/2024 15:13,7.23 pH,-6.2 mV,23.5 °C,98.80%,6/5/2024 15:13,8.997 psu,31.361 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:13,1.63 mg/L,20.3 % sat,31.3 Torr,23.4 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
19,6/5/2024 15:15,7.63 pH,-29.7 mV,23.5 °C,98.80%,6/5/2024 15:15,8.994 psu,31.394 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:15,7.22 mg/L,89.7 % sat,138.1 Torr,23.4 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
20,6/5/2024 15:16,7.70 pH,-33.2 mV,23.5 °C,98.80%,6/5/2024 15:16,8.996 psu,31.391 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:16,7.41 mg/L,92.1 % sat,141.8 Torr,23.5 °C,757.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
21,6/5/2024 15:17,7.54 pH,-24.4 mV,23.6 °C,98.80%,6/5/2024 15:17,8.988 psu,31.406 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:17,7.24 mg/L,90.2 % sat,138.7 Torr,23.5 °C,757.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
22,6/5/2024 15:18,7.68 pH,-32.3 mV,23.5 °C,98.80%,6/5/2024 15:18,8.999 psu,31.402 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:18,7.36 mg/L,91.6 % sat,141.0 Torr,23.5 °C,757.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
23,6/5/2024 15:18,7.64 pH,-30.0 mV,23.5 °C,98.80%,6/5/2024 15:18,8.996 psu,31.394 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:18,7.43 mg/L,92.4 % sat,142.1 Torr,23.5 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,
24,6/5/2024 15:19,7.62 pH,-28.6 mV,23.6 °C,98.80%,6/5/2024 15:19,8.994 psu,31.400 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/5/2024 15:19,7.27 mg/L,90.4 % sat,139.1 Torr,23.5 °C,756.0 mmHg,9.0 ppt,1.549 Torr/%Sat,,Tank 24 was empty 
24,6/6/2024 10:34,7.65 pH,-30.5 mV,23.0 °C,98.70%,6/6/2024 10:34,9.577 psu,32.927 mS,23.0 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:34,7.44 mg/L,92.6 % sat,140.9 Torr,22.9 °C,751.0 mmHg,9.6 ppt,1.541 Torr/%Sat,,
23,6/6/2024 9:23,7.00 pH,7.2 mV,22.9 °C,98.70%,6/6/2024 9:23,8.963 psu,30.903 mS,22.9 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:23,1.68 mg/L,20.7 % sat,31.5 Torr,22.8 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
22,6/6/2024 9:25,6.97 pH,8.8 mV,22.9 °C,98.70%,6/6/2024 9:25,8.975 psu,30.893 mS,22.9 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:25,3.39 mg/L,41.9 % sat,63.8 Torr,22.7 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
21,6/6/2024 9:30,7.09 pH,1.7 mV,23.0 °C,98.70%,6/6/2024 9:30,8.974 psu,30.959 mS,23.0 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:30,2.60 mg/L,32.2 % sat,49.0 Torr,22.8 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
20,6/6/2024 9:32,7.03 pH,5.8 mV,23.0 °C,98.70%,6/6/2024 9:32,8.973 psu,30.978 mS,23.0 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:32,3.54 mg/L,43.8 % sat,66.8 Torr,22.9 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
19,6/6/2024 9:34,7.03 pH,5.3 mV,23.0 °C,98.70%,6/6/2024 9:34,8.976 psu,30.958 mS,23.0 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:34,2.96 mg/L,36.6 % sat,55.7 Torr,22.8 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
18,6/6/2024 9:36,7.21 pH,-4.8 mV,23.1 °C,98.70%,6/6/2024 9:36,9.528 psu,32.809 mS,23.1 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:36,6.50 mg/L,80.9 % sat,123.2 Torr,23.0 °C,752.0 mmHg,9.5 ppt,1.541 Torr/%Sat,,
17,6/6/2024 9:39,7.19 pH,-3.9 mV,23.0 °C,98.70%,6/6/2024 9:39,8.981 psu,30.981 mS,23.0 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:39,1.62 mg/L,20.0 % sat,30.4 Torr,22.8 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
16,6/6/2024 9:47,7.13 pH,-0.2 mV,23.1 °C,98.70%,6/6/2024 9:47,9.093 psu,31.405 mS,23.1 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:47,4.72 mg/L,58.5 % sat,89.1 Torr,22.9 °C,752.0 mmHg,9.1 ppt,1.541 Torr/%Sat,,
15,6/6/2024 9:50,7.19 pH,-3.9 mV,23.0 °C,98.70%,6/6/2024 9:50,8.978 psu,30.997 mS,23.0 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:50,0.76 mg/L,9.4 % sat,14.3 Torr,22.8 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
14,6/6/2024 9:53,7.17 pH,-2.6 mV,23.1 °C,98.70%,6/6/2024 9:53,8.980 psu,31.081 mS,23.1 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:53,0.86 mg/L,10.6 % sat,16.2 Torr,22.9 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
13,6/6/2024 9:55,7.16 pH,-1.9 mV,23.3 °C,98.70%,6/6/2024 9:55,8.917 psu,30.967 mS,23.3 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:55,1.50 mg/L,18.6 % sat,28.3 Torr,23.1 °C,752.0 mmHg,8.9 ppt,1.541 Torr/%Sat,,
12,6/6/2024 9:58,7.08 pH,2.3 mV,22.7 °C,98.70%,6/6/2024 9:58,8.977 psu,30.768 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 9:58,0.71 mg/L,8.8 % sat,13.4 Torr,22.6 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
11,6/6/2024 10:00,6.99 pH,8.0 mV,22.7 °C,98.70%,6/6/2024 10:00,8.890 psu,30.501 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:00,0.93 mg/L,11.5 % sat,17.5 Torr,22.6 °C,752.0 mmHg,8.9 ppt,1.541 Torr/%Sat,,
10,6/6/2024 10:02,7.13 pH,-0.2 mV,22.6 °C,98.70%,6/6/2024 10:02,9.037 psu,30.954 mS,22.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:02,2.97 mg/L,36.6 % sat,55.7 Torr,22.5 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
9,6/6/2024 10:04,7.14 pH,-0.9 mV,22.7 °C,98.70%,6/6/2024 10:04,8.972 psu,30.762 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:04,0.67 mg/L,8.2 % sat,12.6 Torr,22.6 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
8,6/6/2024 10:07,7.11 pH,0.9 mV,22.7 °C,98.70%,6/6/2024 10:07,8.974 psu,30.792 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:07,0.81 mg/L,10.0 % sat,15.3 Torr,22.6 °C,752.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
7,6/6/2024 10:09,7.19 pH,-4.0 mV,22.7 °C,98.70%,6/6/2024 10:09,8.976 psu,30.811 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:09,0.27 mg/L,3.3 % sat,5.0 Torr,22.6 °C,751.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
6,6/6/2024 10:11,7.06 pH,3.5 mV,22.6 °C,98.70%,6/6/2024 10:11,8.967 psu,30.681 mS,22.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:11,2.46 mg/L,30.2 % sat,46.0 Torr,22.5 °C,751.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
5,6/6/2024 10:14,7.03 pH,5.5 mV,22.7 °C,98.70%,6/6/2024 10:14,8.967 psu,30.761 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:14,1.51 mg/L,18.6 % sat,28.2 Torr,22.5 °C,751.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
4,6/6/2024 10:16,7.05 pH,4.1 mV,22.8 °C,98.70%,6/6/2024 10:16,8.971 psu,30.826 mS,22.8 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:16,1.81 mg/L,22.3 % sat,33.9 Torr,22.7 °C,751.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
3,6/6/2024 10:19,6.99 pH,7.8 mV,22.7 °C,98.70%,6/6/2024 10:19,9.004 psu,30.881 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:19,1.89 mg/L,23.3 % sat,35.4 Torr,22.6 °C,751.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
2,6/6/2024 10:21,7.01 pH,6.9 mV,22.7 °C,98.70%,6/6/2024 10:21,8.974 psu,30.807 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:21,3.23 mg/L,39.8 % sat,60.7 Torr,22.6 °C,751.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
1,6/6/2024 10:23,7.01 pH,6.9 mV,22.5 °C,98.70%,6/6/2024 10:23,8.989 psu,30.729 mS,22.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 10:23,2.36 mg/L,29.0 % sat,44.2 Torr,22.4 °C,751.0 mmHg,9.0 ppt,1.541 Torr/%Sat,,
24,6/6/2024 14:10,7.60 pH,-27.7 mV,23.6 °C,98.70%,6/6/2024 14:10,9.369 psu,32.653 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:10,7.05 mg/L,88.7 % sat,134.6 Torr,23.5 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
23,6/6/2024 14:10,7.59 pH,-26.9 mV,23.6 °C,98.70%,6/6/2024 14:10,9.420 psu,32.799 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:10,7.11 mg/L,89.4 % sat,135.8 Torr,23.5 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
22,6/6/2024 14:11,7.55 pH,-24.7 mV,23.5 °C,98.70%,6/6/2024 14:11,9.446 psu,32.848 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:11,7.16 mg/L,89.9 % sat,136.5 Torr,23.4 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
21,6/6/2024 14:12,7.51 pH,-22.3 mV,23.5 °C,98.70%,6/6/2024 14:12,9.450 psu,32.863 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:12,6.80 mg/L,85.4 % sat,129.8 Torr,23.4 °C,751.0 mmHg,9.5 ppt,1.541 Torr/%Sat,,
20,6/6/2024 14:14,7.63 pH,-29.2 mV,23.6 °C,98.70%,6/6/2024 14:14,9.419 psu,32.811 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:14,7.08 mg/L,89.1 % sat,135.3 Torr,23.5 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
19,6/6/2024 14:14,7.56 pH,-25.1 mV,23.6 °C,98.70%,6/6/2024 14:14,9.433 psu,32.829 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:14,6.98 mg/L,87.7 % sat,133.2 Torr,23.5 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
18,6/6/2024 14:16,7.33 pH,-12.2 mV,23.7 °C,98.70%,6/6/2024 14:16,9.365 psu,32.674 mS,23.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:16,1.58 mg/L,19.9 % sat,30.2 Torr,23.6 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
17,6/6/2024 14:18,7.29 pH,-9.6 mV,23.5 °C,98.70%,6/6/2024 14:18,9.420 psu,32.766 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:18,1.40 mg/L,17.6 % sat,26.8 Torr,23.4 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
16,6/6/2024 14:20,7.29 pH,-9.7 mV,23.6 °C,98.70%,6/6/2024 14:20,9.409 psu,32.780 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:20,1.58 mg/L,19.9 % sat,30.2 Torr,23.5 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
15,6/6/2024 14:21,7.26 pH,-8.1 mV,23.5 °C,98.70%,6/6/2024 14:21,9.441 psu,32.829 mS,23.5 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:21,1.62 mg/L,20.3 % sat,30.8 Torr,23.5 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
14,6/6/2024 14:22,7.31 pH,-11.0 mV,23.6 °C,98.70%,6/6/2024 14:22,9.399 psu,32.751 mS,23.6 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:22,2.78 mg/L,35.0 % sat,53.2 Torr,23.5 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
13,6/6/2024 14:24,7.34 pH,-12.6 mV,23.7 °C,98.70%,6/6/2024 14:24,9.379 psu,32.707 mS,23.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:24,1.42 mg/L,17.8 % sat,27.0 Torr,23.6 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
12,6/6/2024 14:26,7.57 pH,-25.9 mV,23.2 °C,98.70%,6/6/2024 14:26,9.385 psu,32.427 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:26,5.04 mg/L,62.9 % sat,95.5 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
11,6/6/2024 14:27,7.26 pH,-7.8 mV,23.0 °C,98.70%,6/6/2024 14:27,9.412 psu,32.367 mS,23.0 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:27,2.60 mg/L,32.3 % sat,49.0 Torr,22.9 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
10,6/6/2024 14:29,7.57 pH,-26.0 mV,23.2 °C,98.70%,6/6/2024 14:29,9.396 psu,32.468 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:29,5.79 mg/L,72.3 % sat,109.9 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
9,6/6/2024 14:30,7.60 pH,-27.3 mV,23.2 °C,98.70%,6/6/2024 14:30,9.392 psu,32.453 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:30,6.05 mg/L,75.5 % sat,114.7 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
8,6/6/2024 14:32,7.53 pH,-23.5 mV,23.2 °C,98.70%,6/6/2024 14:32,9.385 psu,32.443 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:32,5.38 mg/L,67.2 % sat,102.2 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
7,6/6/2024 14:32,7.60 pH,-27.7 mV,23.2 °C,98.70%,6/6/2024 14:32,9.418 psu,32.548 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:32,6.07 mg/L,75.8 % sat,115.1 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
6,6/6/2024 14:34,7.58 pH,-26.2 mV,23.2 °C,98.70%,6/6/2024 14:34,9.406 psu,32.502 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:34,6.45 mg/L,80.5 % sat,122.4 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
5,6/6/2024 14:35,7.58 pH,-26.6 mV,23.2 °C,98.70%,6/6/2024 14:35,9.407 psu,32.495 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:35,6.60 mg/L,82.3 % sat,125.1 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
4,6/6/2024 14:36,7.64 pH,-29.9 mV,23.2 °C,98.70%,6/6/2024 14:36,9.423 psu,32.550 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:36,6.62 mg/L,82.6 % sat,125.5 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
3,6/6/2024 14:38,7.57 pH,-25.9 mV,23.2 °C,98.70%,6/6/2024 14:38,9.417 psu,32.538 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:38,6.57 mg/L,82.0 % sat,124.6 Torr,23.1 °C,751.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
2,6/6/2024 14:39,7.63 pH,-29.4 mV,23.1 °C,98.70%,6/6/2024 14:39,9.458 psu,32.625 mS,23.1 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:39,6.69 mg/L,83.4 % sat,126.7 Torr,23.1 °C,751.0 mmHg,9.5 ppt,1.541 Torr/%Sat,,
1,6/6/2024 14:40,7.55 pH,-24.8 mV,23.2 °C,98.70%,6/6/2024 14:40,9.422 psu,32.497 mS,23.2 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/6/2024 14:40,6.38 mg/L,79.6 % sat,120.9 Torr,23.1 °C,750.0 mmHg,9.4 ppt,1.541 Torr/%Sat,,
1,6/7/2024 8:57,7.45 pH,-19.5 mV,22.7 °C,89.00%,6/7/2024 8:57,9.827 psu,33.465 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/7/2024 8:57,6.11 mg/L,75.6 % sat,116.6 Torr,22.6 °C,752.0 mmHg,9.8 ppt,1.561 Torr/%Sat,,
2,6/7/2024 8:58,7.52 pH,-23.7 mV,22.7 °C,89.00%,6/7/2024 8:58,9.823 psu,33.486 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/7/2024 8:58,6.32 mg/L,78.2 % sat,120.6 Torr,22.6 °C,752.0 mmHg,9.8 ppt,1.561 Torr/%Sat,,
3,6/7/2024 8:59,7.47 pH,-21.1 mV,22.7 °C,89.00%,6/7/2024 8:59,9.829 psu,33.482 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/7/2024 8:59,6.24 mg/L,77.2 % sat,119.2 Torr,22.6 °C,752.0 mmHg,9.8 ppt,1.561 Torr/%Sat,,
4,6/7/2024 8:59,7.48 pH,-21.6 mV,22.7 °C,89.00%,6/7/2024 8:59,9.826 psu,33.486 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/7/2024 8:59,6.34 mg/L,78.4 % sat,121.0 Torr,22.6 °C,752.0 mmHg,9.8 ppt,1.561 Torr/%Sat,,
5,6/7/2024 9:01,7.42 pH,-18.4 mV,22.7 °C,89.00%,6/7/2024 9:01,9.826 psu,33.468 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/7/2024 9:01,6.03 mg/L,74.6 % sat,115.1 Torr,22.6 °C,752.0 mmHg,9.8 ppt,1.561 Torr/%Sat,,
6,6/7/2024 9:02,7.47 pH,-20.8 mV,22.7 °C,89.00%,6/7/2024 9:02,9.827 psu,33.480 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/7/2024 9:02,6.22 mg/L,77.0 % sat,118.8 Torr,22.6 °C,752.0 mmHg,9.8 ppt,1.561 Torr/%Sat,,
7,6/7/2024 9:03,7.45 pH,-20.0 mV,22.7 °C,89.00%,6/7/2024 9:03,9.830 psu,33.491 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/7/2024 9:03,6.66 mg/L,82.4 % sat,127.2 Torr,22.6 °C,752.0 mmHg,9.8 ppt,1.561 Torr/%Sat,,
8,6/7/2024 9:04,7.20 pH,-6.3 mV,22.7 °C,89.00%,6/7/2024 9:04,9.818 psu,33.442 mS,22.7 °C,Practical Salinity,15.0 °C,0.4750 /cm,6/7/2024 9:04,5.40 mg/L,66.7 % sat,102.9 Torr,22.6 °C,752.0 mmHg,9.8 ppt,1.561 Torr/%Sat,,
