Tank_num,Date / Time,pH Value,mV Value,Temperature,Average Slope,Date / Time,Salinity Value,Conductance Value,Temperature,Salinity Type,Reference Temperature,Cell Constant,Date / Time,Concentration Value,Saturation Value,Partial Pressure,Solution Temperature,Barometric Pressure,Salinity Correction,Slope
17,7/27/2024 8:39,7.92 pH,-47.0 mV,30.5 째C,99.30%,7/27/2024 8:39,11.09 psu,43.66 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:39,6.55 mg/L,92.1 % sat,134.6 Torr,30.5 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
18,7/27/2024 8:39,7.91 pH,-46.3 mV,30.5 째C,99.30%,7/27/2024 8:39,11.08 psu,43.58 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:39,6.40 mg/L,89.9 % sat,131.4 Torr,30.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
19,7/27/2024 8:41,7.91 pH,-46.4 mV,30.5 째C,99.30%,7/27/2024 8:41,11.07 psu,43.57 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:41,6.35 mg/L,89.1 % sat,130.2 Torr,30.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
20,7/27/2024 8:42,7.92 pH,-47.0 mV,30.5 째C,99.30%,7/27/2024 8:42,11.06 psu,43.55 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:42,6.45 mg/L,90.6 % sat,132.5 Torr,30.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
21,7/27/2024 8:43,7.93 pH,-47.5 mV,30.5 째C,99.30%,7/27/2024 8:43,11.06 psu,43.57 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:43,6.53 mg/L,91.7 % sat,133.9 Torr,30.5 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
22,7/27/2024 8:43,7.92 pH,-47.0 mV,30.5 째C,99.30%,7/27/2024 8:43,11.07 psu,43.55 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:43,6.55 mg/L,91.9 % sat,134.3 Torr,30.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
23,7/27/2024 8:44,7.92 pH,-46.9 mV,30.5 째C,99.30%,7/27/2024 8:44,11.07 psu,43.57 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:44,6.48 mg/L,91.0 % sat,132.9 Torr,30.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
24,7/27/2024 8:44,7.92 pH,-46.9 mV,30.5 째C,99.30%,7/27/2024 8:44,11.07 psu,43.56 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 8:44,6.48 mg/L,91.0 % sat,133.0 Torr,30.4 째C,764.0 mmHg,11.1 ppt,1.477 Torr/%Sat
1,7/27/2024 15:15,7.94 pH,-48.0 mV,27.8 째C,99.90%,7/27/2024 15:15,10.63 psu,39.84 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:15,6.99 mg/L,93.1 % sat,136.2 Torr,27.4 째C,764.0 mmHg,10.6 ppt,1.465 Torr/%Sat
2,7/27/2024 15:16,7.88 pH,-44.6 mV,27.9 째C,99.90%,7/27/2024 15:16,11.03 psu,41.34 mS,27.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:16,6.86 mg/L,92.0 % sat,134.5 Torr,27.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
3,7/27/2024 15:16,7.90 pH,-45.3 mV,27.8 째C,99.90%,7/27/2024 15:16,11.03 psu,41.27 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:16,6.93 mg/L,92.9 % sat,135.8 Torr,27.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
4,7/27/2024 15:18,7.90 pH,-45.8 mV,27.8 째C,99.90%,7/27/2024 15:18,11.02 psu,41.27 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:18,6.90 mg/L,92.5 % sat,135.2 Torr,27.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
5,7/27/2024 15:18,7.94 pH,-48.1 mV,27.8 째C,99.90%,7/27/2024 15:18,11.02 psu,41.24 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:18,7.02 mg/L,94.2 % sat,137.7 Torr,27.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
6,7/27/2024 15:19,8.02 pH,-52.4 mV,27.9 째C,99.90%,7/27/2024 15:19,11.02 psu,41.31 mS,27.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:19,6.98 mg/L,93.8 % sat,137.0 Torr,27.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
7,7/27/2024 15:22,8.19 pH,-62.8 mV,27.8 째C,99.90%,7/27/2024 15:22,11.01 psu,41.19 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:22,0.64 mg/L,8.6 % sat,12.5 Torr,27.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
8,7/27/2024 15:24,8.22 pH,-64.5 mV,27.9 째C,99.90%,7/27/2024 15:24,11.01 psu,41.25 mS,27.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:24,0.67 mg/L,9.0 % sat,13.1 Torr,27.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
9,7/27/2024 15:26,8.23 pH,-65.1 mV,27.9 째C,99.90%,7/27/2024 15:26,11.01 psu,41.26 mS,27.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:26,0.65 mg/L,8.7 % sat,12.7 Torr,27.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
10,7/27/2024 15:27,8.23 pH,-64.8 mV,27.8 째C,99.90%,7/27/2024 15:27,11.00 psu,41.20 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:27,0.69 mg/L,9.2 % sat,13.4 Torr,27.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
11,7/27/2024 15:29,8.21 pH,-63.9 mV,27.8 째C,99.90%,7/27/2024 15:29,11.01 psu,41.18 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:29,0.54 mg/L,7.3 % sat,10.7 Torr,27.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
12,7/27/2024 15:31,8.20 pH,-63.5 mV,27.8 째C,99.90%,7/27/2024 15:31,11.01 psu,41.17 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:31,0.78 mg/L,10.4 % sat,15.2 Torr,27.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
13,7/27/2024 15:33,7.78 pH,-39.2 mV,30.8 째C,99.90%,7/27/2024 15:33,11.01 psu,43.63 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:33,0.64 mg/L,9.0 % sat,13.0 Torr,30.6 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
14,7/27/2024 15:35,7.77 pH,-38.3 mV,30.9 째C,99.90%,7/27/2024 15:35,11.00 psu,43.60 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:35,0.76 mg/L,10.7 % sat,15.6 Torr,30.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
15,7/27/2024 15:37,7.77 pH,-38.4 mV,30.7 째C,99.90%,7/27/2024 15:37,11.00 psu,43.45 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:37,1.07 mg/L,15.1 % sat,22.0 Torr,30.5 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
16,7/27/2024 15:39,7.79 pH,-39.7 mV,30.9 째C,99.90%,7/27/2024 15:39,11.00 psu,43.61 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:39,0.60 mg/L,8.5 % sat,12.4 Torr,30.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
17,7/27/2024 15:41,7.80 pH,-39.9 mV,30.9 째C,99.90%,7/27/2024 15:41,11.00 psu,43.62 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:41,0.68 mg/L,9.6 % sat,13.9 Torr,30.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
18,7/27/2024 15:42,7.78 pH,-38.8 mV,30.8 째C,99.90%,7/27/2024 15:42,10.98 psu,43.47 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:42,0.69 mg/L,9.7 % sat,14.2 Torr,30.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
19,7/27/2024 15:44,7.98 pH,-50.6 mV,30.8 째C,99.90%,7/27/2024 15:44,10.99 psu,43.53 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:44,6.30 mg/L,88.8 % sat,128.9 Torr,30.7 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
20,7/27/2024 15:45,7.95 pH,-48.9 mV,30.9 째C,99.90%,7/27/2024 15:45,10.98 psu,43.54 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:45,6.26 mg/L,88.3 % sat,128.2 Torr,30.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
21,7/27/2024 15:46,8.01 pH,-52.7 mV,30.9 째C,99.90%,7/27/2024 15:46,10.99 psu,43.57 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:46,6.51 mg/L,91.9 % sat,133.4 Torr,30.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
22,7/27/2024 15:47,7.99 pH,-51.3 mV,30.8 째C,99.90%,7/27/2024 15:47,10.99 psu,43.52 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:47,6.46 mg/L,91.2 % sat,132.4 Torr,30.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
23,7/27/2024 15:48,7.99 pH,-51.2 mV,30.8 째C,99.90%,7/27/2024 15:48,10.99 psu,43.57 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:48,6.53 mg/L,92.1 % sat,133.7 Torr,30.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
24,7/27/2024 15:48,7.97 pH,-50.4 mV,30.9 째C,99.90%,7/27/2024 15:48,10.99 psu,43.58 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/27/2024 15:48,6.47 mg/L,91.3 % sat,132.5 Torr,30.8 째C,764.0 mmHg,11.0 ppt,1.465 Torr/%Sat
24,7/28/2024 9:02,7.72 pH,-34.5 mV,30.5 째C,99.50%,7/28/2024 9:02,10.99 psu,43.27 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:02,6.34 mg/L,88.8 % sat,129.6 Torr,30.3 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
23,7/28/2024 9:03,7.71 pH,-34.3 mV,30.5 째C,99.50%,7/28/2024 9:03,11.01 psu,43.32 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:03,6.36 mg/L,89.1 % sat,130.2 Torr,30.3 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
22,7/28/2024 9:04,7.71 pH,-34.1 mV,30.5 째C,99.50%,7/28/2024 9:04,11.00 psu,43.29 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:04,6.28 mg/L,88.0 % sat,128.5 Torr,30.4 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
21,7/28/2024 9:05,7.76 pH,-37.1 mV,30.5 째C,99.50%,7/28/2024 9:05,11.00 psu,43.34 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:05,6.40 mg/L,89.7 % sat,131.0 Torr,30.4 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
20,7/28/2024 9:07,7.72 pH,-34.8 mV,30.5 째C,99.50%,7/28/2024 9:07,11.00 psu,43.31 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:07,6.25 mg/L,87.5 % sat,127.7 Torr,30.4 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
19,7/28/2024 9:07,7.69 pH,-32.6 mV,30.4 째C,99.50%,7/28/2024 9:07,11.00 psu,43.27 mS,30.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:07,6.28 mg/L,88.0 % sat,128.5 Torr,30.4 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
18,7/28/2024 9:09,7.71 pH,-34.2 mV,30.5 째C,99.50%,7/28/2024 9:09,11.00 psu,43.28 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:09,6.19 mg/L,86.7 % sat,126.6 Torr,30.4 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
17,7/28/2024 9:10,7.71 pH,-34.3 mV,30.5 째C,99.50%,7/28/2024 9:10,11.00 psu,43.29 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:10,6.28 mg/L,87.9 % sat,128.3 Torr,30.4 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
16,7/28/2024 9:12,7.71 pH,-34.3 mV,30.4 째C,99.50%,7/28/2024 9:12,11.00 psu,43.21 mS,30.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:12,6.23 mg/L,87.1 % sat,127.2 Torr,30.3 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
15,7/28/2024 9:13,7.70 pH,-33.2 mV,30.3 째C,99.50%,7/28/2024 9:13,11.00 psu,43.16 mS,30.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:13,6.18 mg/L,86.3 % sat,126.1 Torr,30.2 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
14,7/28/2024 9:14,7.62 pH,-28.9 mV,30.3 째C,99.50%,7/28/2024 9:14,11.00 psu,43.17 mS,30.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:14,5.98 mg/L,83.6 % sat,122.2 Torr,30.2 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
13,7/28/2024 9:15,7.65 pH,-30.7 mV,30.3 째C,99.50%,7/28/2024 9:15,11.00 psu,43.16 mS,30.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:15,6.10 mg/L,85.2 % sat,124.6 Torr,30.2 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
12,7/28/2024 9:16,7.77 pH,-37.1 mV,27.4 째C,99.50%,7/28/2024 9:16,10.99 psu,40.84 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:16,6.87 mg/L,91.6 % sat,134.8 Torr,27.5 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
11,7/28/2024 9:18,7.77 pH,-36.9 mV,27.3 째C,99.50%,7/28/2024 9:18,11.00 psu,40.79 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:18,6.77 mg/L,90.1 % sat,132.5 Torr,27.3 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
10,7/28/2024 9:18,7.77 pH,-37.3 mV,27.4 째C,99.50%,7/28/2024 9:18,11.00 psu,40.83 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:18,6.96 mg/L,92.7 % sat,136.4 Torr,27.3 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
9,7/28/2024 9:19,7.79 pH,-38.5 mV,27.4 째C,99.50%,7/28/2024 9:19,11.01 psu,40.88 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:19,6.99 mg/L,93.1 % sat,137.0 Torr,27.4 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
8,7/28/2024 9:20,7.72 pH,-34.4 mV,27.4 째C,99.50%,7/28/2024 9:20,11.01 psu,40.85 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:20,6.95 mg/L,92.4 % sat,135.9 Torr,27.3 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
7,7/28/2024 9:21,7.74 pH,-35.6 mV,27.3 째C,99.50%,7/28/2024 9:21,11.00 psu,40.80 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:21,6.86 mg/L,91.2 % sat,134.2 Torr,27.3 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
6,7/28/2024 9:22,7.74 pH,-35.3 mV,27.3 째C,99.50%,7/28/2024 9:22,11.00 psu,40.80 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:22,7.02 mg/L,93.3 % sat,137.4 Torr,27.2 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
5,7/28/2024 9:23,7.76 pH,-36.7 mV,27.2 째C,99.50%,7/28/2024 9:23,11.00 psu,40.72 mS,27.2 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:23,6.97 mg/L,92.5 % sat,136.1 Torr,27.2 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
4,7/28/2024 9:25,7.75 pH,-35.8 mV,27.3 째C,99.50%,7/28/2024 9:25,11.00 psu,40.75 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:25,6.95 mg/L,92.2 % sat,135.6 Torr,27.2 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
3,7/28/2024 9:26,7.73 pH,-34.6 mV,27.3 째C,99.50%,7/28/2024 9:26,11.00 psu,40.77 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:26,6.90 mg/L,91.6 % sat,134.8 Torr,27.2 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
2,7/28/2024 9:26,7.70 pH,-33.2 mV,27.3 째C,99.50%,7/28/2024 9:26,11.00 psu,40.82 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:26,6.88 mg/L,91.4 % sat,134.6 Torr,27.3 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
1,7/28/2024 9:28,7.77 pH,-37.1 mV,27.3 째C,99.50%,7/28/2024 9:28,11.01 psu,40.82 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 9:28,6.94 mg/L,92.2 % sat,135.6 Torr,27.2 째C,765.0 mmHg,11.0 ppt,1.474 Torr/%Sat
24,7/28/2024 15:19,7.75 pH,-37.2 mV,30.9 째C,99.90%,7/28/2024 15:19,10.93 psu,43.36 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:19,6.31 mg/L,89.1 % sat,129.6 Torr,30.7 째C,763.0 mmHg,10.9 ppt,1.474 Torr/%Sat
23,7/28/2024 15:20,7.74 pH,-36.5 mV,30.9 째C,99.90%,7/28/2024 15:20,10.96 psu,43.51 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:20,6.24 mg/L,88.2 % sat,128.3 Torr,30.7 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
22,7/28/2024 15:22,7.74 pH,-36.3 mV,30.8 째C,99.90%,7/28/2024 15:22,10.96 psu,43.40 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:22,6.25 mg/L,88.2 % sat,128.3 Torr,30.7 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
21,7/28/2024 15:23,7.79 pH,-39.2 mV,30.9 째C,99.90%,7/28/2024 15:23,10.96 psu,43.51 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:23,6.39 mg/L,90.4 % sat,131.4 Torr,30.8 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
20,7/28/2024 15:24,7.74 pH,-36.4 mV,30.9 째C,99.90%,7/28/2024 15:24,10.95 psu,43.48 mS,30.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:24,6.21 mg/L,87.8 % sat,127.7 Torr,30.8 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
19,7/28/2024 15:25,7.74 pH,-36.6 mV,30.8 째C,99.90%,7/28/2024 15:25,10.96 psu,43.43 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:25,6.27 mg/L,88.6 % sat,128.9 Torr,30.7 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
18,7/28/2024 15:27,7.56 pH,-25.9 mV,30.8 째C,99.90%,7/28/2024 15:27,10.96 psu,43.36 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:27,0.55 mg/L,7.7 % sat,11.2 Torr,30.7 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
17,7/28/2024 15:29,7.59 pH,-27.3 mV,30.8 째C,99.90%,7/28/2024 15:29,10.96 psu,43.40 mS,30.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:29,0.76 mg/L,10.8 % sat,15.7 Torr,30.7 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
16,7/28/2024 15:31,7.56 pH,-25.6 mV,30.7 째C,99.90%,7/28/2024 15:31,10.94 psu,43.26 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:31,0.65 mg/L,9.2 % sat,13.3 Torr,30.6 째C,763.0 mmHg,10.9 ppt,1.474 Torr/%Sat
