"date","time","tank_num","temp_C","oxygen_conc_mgL","treatment","DO_treat","temp_treat","date_time","pH","cycle"
2024-06-06,950,15,23,0.76,"both","hypoxic","warm",2024-06-06 09:50:00,7.19,"normoxic"
2024-06-06,953,14,23.1,0.86,"both","hypoxic","warm",2024-06-06 09:53:00,7.17,"normoxic"
2024-06-06,955,13,23.3,1.5,"both","hypoxic","warm",2024-06-06 09:55:00,7.16,"normoxic"
2024-06-06,958,12,22.7,0.71,"hypoxic","hypoxic","ambient",2024-06-06 09:58:00,7.08,"normoxic"
2024-06-06,1000,11,22.7,0.93,"hypoxic","hypoxic","ambient",2024-06-06 10:00:00,6.99,"normoxic"
2024-06-06,1002,10,22.6,2.97,"hypoxic","hypoxic","ambient",2024-06-06 10:02:00,7.13,"normoxic"
2024-06-06,1004,9,22.7,0.67,"hypoxic","hypoxic","ambient",2024-06-06 10:04:00,7.14,"normoxic"
2024-06-06,1007,8,22.7,0.81,"hypoxic","hypoxic","ambient",2024-06-06 10:07:00,7.11,"normoxic"
2024-06-06,1009,7,22.7,0.27,"hypoxic","hypoxic","ambient",2024-06-06 10:09:00,7.19,"normoxic"
2024-06-06,1011,6,22.6,2.46,"control","normoxic","ambient",2024-06-06 10:11:00,7.06,"normoxic"
2024-06-06,1014,5,22.7,1.51,"control","normoxic","ambient",2024-06-06 10:14:00,7.03,"normoxic"
2024-06-06,1016,4,22.8,1.81,"control","normoxic","ambient",2024-06-06 10:16:00,7.05,"normoxic"
2024-06-06,1019,3,22.7,1.89,"control","normoxic","ambient",2024-06-06 10:19:00,6.99,"normoxic"
2024-06-06,1021,2,22.7,3.23,"control","normoxic","ambient",2024-06-06 10:21:00,7.01,"normoxic"
2024-06-06,1023,1,22.5,2.36,"control","normoxic","ambient",2024-06-06 10:23:00,7.01,"normoxic"
2024-06-06,1410,24,23.6,7.05,"warm","normoxic","warm",2024-06-06 14:10:00,7.6,"hypoxic"
2024-06-06,1410,23,23.6,7.11,"warm","normoxic","warm",2024-06-06 14:10:00,7.59,"hypoxic"
2024-06-06,1411,22,23.5,7.16,"warm","normoxic","warm",2024-06-06 14:11:00,7.55,"hypoxic"
2024-06-06,1412,21,23.5,6.8,"warm","normoxic","warm",2024-06-06 14:12:00,7.51,"hypoxic"
2024-06-06,1414,20,23.6,7.08,"warm","normoxic","warm",2024-06-06 14:14:00,7.63,"hypoxic"
2024-06-06,1414,19,23.6,6.98,"warm","normoxic","warm",2024-06-06 14:14:00,7.56,"hypoxic"
2024-06-06,1416,18,23.7,1.58,"both","hypoxic","warm",2024-06-06 14:16:00,7.33,"hypoxic"
2024-06-06,1418,17,23.5,1.4,"both","hypoxic","warm",2024-06-06 14:18:00,7.29,"hypoxic"
2024-06-06,1420,16,23.6,1.58,"both","hypoxic","warm",2024-06-06 14:20:00,7.29,"hypoxic"
2024-06-06,1421,15,23.5,1.62,"both","hypoxic","warm",2024-06-06 14:21:00,7.26,"hypoxic"
2024-06-06,1422,14,23.6,2.78,"both","hypoxic","warm",2024-06-06 14:22:00,7.31,"hypoxic"
2024-06-06,1424,13,23.7,1.42,"both","hypoxic","warm",2024-06-06 14:24:00,7.34,"hypoxic"
2024-06-06,1426,12,23.2,5.04,"hypoxic","hypoxic","ambient",2024-06-06 14:26:00,7.57,"hypoxic"
2024-06-06,1427,11,23,2.6,"hypoxic","hypoxic","ambient",2024-06-06 14:27:00,7.26,"hypoxic"
2024-06-06,1429,10,23.2,5.79,"hypoxic","hypoxic","ambient",2024-06-06 14:29:00,7.57,"hypoxic"
2024-06-06,1430,9,23.2,6.05,"hypoxic","hypoxic","ambient",2024-06-06 14:30:00,7.6,"hypoxic"
2024-06-06,1432,8,23.2,5.38,"hypoxic","hypoxic","ambient",2024-06-06 14:32:00,7.53,"hypoxic"
2024-06-06,1432,7,23.2,6.07,"hypoxic","hypoxic","ambient",2024-06-06 14:32:00,7.6,"hypoxic"
2024-06-06,1434,6,23.2,6.45,"control","normoxic","ambient",2024-06-06 14:34:00,7.58,"hypoxic"
2024-06-06,1435,5,23.2,6.6,"control","normoxic","ambient",2024-06-06 14:35:00,7.58,"hypoxic"
2024-06-06,1436,4,23.2,6.62,"control","normoxic","ambient",2024-06-06 14:36:00,7.64,"hypoxic"
2024-06-06,1438,3,23.2,6.57,"control","normoxic","ambient",2024-06-06 14:38:00,7.57,"hypoxic"
2024-06-06,1439,2,23.1,6.69,"control","normoxic","ambient",2024-06-06 14:39:00,7.63,"hypoxic"
2024-06-06,1440,1,23.2,6.38,"control","normoxic","ambient",2024-06-06 14:40:00,7.55,"hypoxic"
2024-06-07,857,1,22.7,6.11,"control","normoxic","ambient",2024-06-07 08:57:00,7.45,"normoxic"
2024-06-07,858,2,22.7,6.32,"control","normoxic","ambient",2024-06-07 08:58:00,7.52,"normoxic"
2024-06-07,859,3,22.7,6.24,"control","normoxic","ambient",2024-06-07 08:59:00,7.47,"normoxic"
2024-06-07,859,4,22.7,6.34,"control","normoxic","ambient",2024-06-07 08:59:00,7.48,"normoxic"
2024-06-07,901,5,22.7,6.03,"control","normoxic","ambient",2024-06-07 09:01:00,7.42,"normoxic"
2024-06-07,902,6,22.7,6.22,"control","normoxic","ambient",2024-06-07 09:02:00,7.47,"normoxic"
2024-06-07,903,7,22.7,6.66,"hypoxic","hypoxic","ambient",2024-06-07 09:03:00,7.45,"normoxic"
2024-06-07,904,8,22.7,5.4,"hypoxic","hypoxic","ambient",2024-06-07 09:04:00,7.2,"normoxic"
2024-06-07,906,9,22.7,5.99,"hypoxic","hypoxic","ambient",2024-06-07 09:06:00,7.27,"normoxic"
2024-06-07,907,10,22.7,6.85,"hypoxic","hypoxic","ambient",2024-06-07 09:07:00,7.55,"normoxic"
2024-06-07,909,11,22.7,5.93,"hypoxic","hypoxic","ambient",2024-06-07 09:09:00,7.36,"normoxic"
2024-06-07,909,12,22.7,6.19,"hypoxic","hypoxic","ambient",2024-06-07 09:09:00,7.34,"normoxic"
2024-06-07,911,13,23.7,6.7,"both","hypoxic","warm",2024-06-07 09:11:00,7.49,"normoxic"
2024-06-07,913,14,23.6,4.69,"both","hypoxic","warm",2024-06-07 09:13:00,7.11,"normoxic"
2024-06-07,920,15,23.7,6.45,"both","hypoxic","warm",2024-06-07 09:20:00,7.45,"normoxic"
2024-06-07,921,16,23.7,6.36,"both","hypoxic","warm",2024-06-07 09:21:00,7.4,"normoxic"
2024-06-07,923,17,23.7,6.1,"both","hypoxic","warm",2024-06-07 09:23:00,7.36,"normoxic"
2024-06-07,924,18,23.7,6.15,"both","hypoxic","warm",2024-06-07 09:24:00,7.37,"normoxic"
2024-06-07,925,19,23.7,6.34,"warm","normoxic","warm",2024-06-07 09:25:00,7.42,"normoxic"
2024-06-07,926,20,23.7,6.53,"warm","normoxic","warm",2024-06-07 09:26:00,7.48,"normoxic"
2024-06-07,928,21,23.5,4.66,"warm","normoxic","warm",2024-06-07 09:28:00,7.13,"normoxic"
2024-06-07,929,22,23.7,6.3,"warm","normoxic","warm",2024-06-07 09:29:00,7.42,"normoxic"
2024-06-07,931,23,23.6,5.73,"warm","normoxic","warm",2024-06-07 09:31:00,7.26,"normoxic"
2024-06-07,932,24,23.7,5.72,"warm","normoxic","warm",2024-06-07 09:32:00,7.27,"normoxic"
2024-06-07,1425,1,23,6.18,"control","normoxic","ambient",2024-06-07 14:25:00,7.41,"hypoxic"
2024-06-07,1425,2,23.1,6.51,"control","normoxic","ambient",2024-06-07 14:25:00,7.51,"hypoxic"
2024-06-07,1427,3,23,6.37,"control","normoxic","ambient",2024-06-07 14:27:00,7.51,"hypoxic"
2024-06-07,1428,4,23.1,6.47,"control","normoxic","ambient",2024-06-07 14:28:00,7.55,"hypoxic"
2024-06-07,1429,5,23.1,6.44,"control","normoxic","ambient",2024-06-07 14:29:00,7.55,"hypoxic"
2024-06-07,1430,6,23,6.54,"control","normoxic","ambient",2024-06-07 14:30:00,7.6,"hypoxic"
2024-06-07,1433,7,23,1.32,"hypoxic","hypoxic","ambient",2024-06-07 14:33:00,7.3,"hypoxic"
2024-06-07,1435,8,23,1.21,"hypoxic","hypoxic","ambient",2024-06-07 14:35:00,7.27,"hypoxic"
2024-06-07,1436,9,23,1.28,"hypoxic","hypoxic","ambient",2024-06-07 14:36:00,7.28,"hypoxic"
2024-06-07,1438,10,23,1.26,"hypoxic","hypoxic","ambient",2024-06-07 14:38:00,7.3,"hypoxic"
2024-06-07,1440,11,22.8,3.07,"hypoxic","hypoxic","ambient",2024-06-07 14:40:00,7.09,"hypoxic"
2024-06-07,1442,12,23,1.29,"hypoxic","hypoxic","ambient",2024-06-07 14:42:00,7.31,"hypoxic"
2024-06-07,1444,13,23.9,1,"both","hypoxic","warm",2024-06-07 14:44:00,7.26,"hypoxic"
2024-06-07,1446,14,23.8,1.82,"both","hypoxic","warm",2024-06-07 14:46:00,7.09,"hypoxic"
2024-06-07,1448,15,24.1,0.36,"both","hypoxic","warm",2024-06-07 14:48:00,7.42,"hypoxic"
2024-06-07,1450,16,24,0.84,"both","hypoxic","warm",2024-06-07 14:50:00,7.29,"hypoxic"
2024-06-07,1452,17,24,0.65,"both","hypoxic","warm",2024-06-07 14:52:00,7.31,"hypoxic"
2024-06-07,1454,18,24.1,0.42,"both","hypoxic","warm",2024-06-07 14:54:00,7.39,"hypoxic"
2024-06-07,1456,19,24,6.22,"warm","normoxic","warm",2024-06-07 14:56:00,7.37,"hypoxic"
2024-06-07,1457,20,23.9,5.78,"warm","normoxic","warm",2024-06-07 14:57:00,7.25,"hypoxic"
2024-06-07,1459,21,23.9,5.95,"warm","normoxic","warm",2024-06-07 14:59:00,7.3,"hypoxic"
2024-06-07,1501,22,23.7,5.49,"warm","normoxic","warm",2024-06-07 15:01:00,7.17,"hypoxic"
2024-06-07,1502,23,23.9,6.13,"warm","normoxic","warm",2024-06-07 15:02:00,7.3,"hypoxic"
2024-06-07,1503,24,24.1,6.71,"warm","normoxic","warm",2024-06-07 15:03:00,7.51,"hypoxic"
2024-06-08,927,24,24,7.37,"warm","normoxic","warm",2024-06-08 09:27:00,7.78,"normoxic"
2024-06-08,900,23,23.7,5.86,"warm","normoxic","warm",2024-06-08 09:00:00,7.28,"normoxic"
2024-06-08,901,22,23.9,6.83,"warm","normoxic","warm",2024-06-08 09:01:00,7.48,"normoxic"
2024-06-08,902,21,23.9,6.74,"warm","normoxic","warm",2024-06-08 09:02:00,7.41,"normoxic"
2024-06-08,903,20,23.9,6.63,"warm","normoxic","warm",2024-06-08 09:03:00,7.37,"normoxic"
2024-06-08,904,19,23.9,6.82,"warm","normoxic","warm",2024-06-08 09:04:00,7.44,"normoxic"
2024-06-08,905,18,24.1,7.01,"both","hypoxic","warm",2024-06-08 09:05:00,7.6,"normoxic"
2024-06-08,907,17,23.5,1.87,"both","hypoxic","warm",2024-06-08 09:07:00,7.16,"normoxic"
2024-06-08,908,16,23.8,5.38,"both","hypoxic","warm",2024-06-08 09:08:00,7.18,"normoxic"
2024-06-08,909,15,24,6.31,"both","hypoxic","warm",2024-06-08 09:09:00,7.39,"normoxic"
2024-06-08,910,14,24,6.48,"both","hypoxic","warm",2024-06-08 09:10:00,7.38,"normoxic"
2024-06-08,912,13,23,6.93,"both","hypoxic","warm",2024-06-08 09:12:00,7.53,"normoxic"
2024-06-08,914,12,22.9,6.15,"hypoxic","hypoxic","ambient",2024-06-08 09:14:00,7.32,"normoxic"
2024-06-08,915,11,23,6.78,"hypoxic","hypoxic","ambient",2024-06-08 09:15:00,7.49,"normoxic"
2024-06-08,916,10,23,6.95,"hypoxic","hypoxic","ambient",2024-06-08 09:16:00,7.56,"normoxic"
2024-06-08,917,9,23,6.78,"hypoxic","hypoxic","ambient",2024-06-08 09:17:00,7.51,"normoxic"
2024-06-08,918,8,23,7,"hypoxic","hypoxic","ambient",2024-06-08 09:18:00,7.55,"normoxic"
2024-06-08,920,7,23,6.42,"hypoxic","hypoxic","ambient",2024-06-08 09:20:00,7.51,"normoxic"
2024-06-08,921,6,23,6.61,"control","normoxic","ambient",2024-06-08 09:21:00,7.53,"normoxic"
2024-06-08,922,5,23,6.6,"control","normoxic","ambient",2024-06-08 09:22:00,7.52,"normoxic"
2024-06-08,923,4,23,6.63,"control","normoxic","ambient",2024-06-08 09:23:00,7.49,"normoxic"
2024-06-08,923,3,23,6.72,"control","normoxic","ambient",2024-06-08 09:23:00,7.56,"normoxic"
2024-06-08,925,2,22.9,6.43,"control","normoxic","ambient",2024-06-08 09:25:00,7.48,"normoxic"
2024-06-08,927,1,24,7.37,"control","normoxic","ambient",2024-06-08 09:27:00,7.78,"normoxic"
2024-06-09,919,24,24.5,6.87,"warm","normoxic","warm",2024-06-09 09:19:00,7.63,"normoxic"
2024-06-09,920,23,24.4,6.16,"warm","normoxic","warm",2024-06-09 09:20:00,7.38,"normoxic"
2024-06-09,921,22,24.4,6.33,"warm","normoxic","warm",2024-06-09 09:21:00,7.4,"normoxic"
2024-06-09,922,21,24.6,6.92,"warm","normoxic","warm",2024-06-09 09:22:00,7.65,"normoxic"
2024-06-09,923,20,24.6,7.02,"warm","normoxic","warm",2024-06-09 09:23:00,7.65,"normoxic"
2024-06-09,923,19,24.5,6.98,"warm","normoxic","warm",2024-06-09 09:23:00,7.65,"normoxic"
2024-06-09,925,18,24.6,6.95,"both","hypoxic","warm",2024-06-09 09:25:00,7.14,"normoxic"
2024-06-09,926,17,24.5,6.61,"both","hypoxic","warm",2024-06-09 09:26:00,7.09,"normoxic"
2024-06-09,927,16,24.5,6.87,"both","hypoxic","warm",2024-06-09 09:27:00,7.11,"normoxic"
2024-06-09,929,15,24.5,6.58,"both","hypoxic","warm",2024-06-09 09:29:00,7.07,"normoxic"
2024-06-09,930,14,24.5,6.64,"both","hypoxic","warm",2024-06-09 09:30:00,7.07,"normoxic"
2024-06-09,930,13,24.5,6.95,"both","hypoxic","warm",2024-06-09 09:30:00,7.12,"normoxic"
2024-06-09,932,12,23.5,6.88,"hypoxic","hypoxic","ambient",2024-06-09 09:32:00,7.7,"normoxic"
2024-06-09,933,11,23.3,5.65,"hypoxic","hypoxic","ambient",2024-06-09 09:33:00,7.29,"normoxic"
2024-06-09,934,10,23.5,6.83,"hypoxic","hypoxic","ambient",2024-06-09 09:34:00,7.64,"normoxic"
2024-06-09,935,9,23.4,6.83,"hypoxic","hypoxic","ambient",2024-06-09 09:35:00,7.63,"normoxic"
2024-06-09,935,8,23.5,6.82,"hypoxic","hypoxic","ambient",2024-06-09 09:35:00,7.62,"normoxic"
2024-06-09,936,7,23.5,6.92,"hypoxic","hypoxic","ambient",2024-06-09 09:36:00,7.65,"normoxic"
2024-06-09,937,6,23.4,6.98,"control","normoxic","ambient",2024-06-09 09:37:00,7.69,"normoxic"
2024-06-09,938,5,23.4,6.85,"control","normoxic","ambient",2024-06-09 09:38:00,7.68,"normoxic"
2024-06-09,939,4,23.5,6.7,"control","normoxic","ambient",2024-06-09 09:39:00,7.67,"normoxic"
2024-06-09,941,3,23.4,6.6,"control","normoxic","ambient",2024-06-09 09:41:00,7.64,"normoxic"
2024-06-09,942,2,23.5,6.86,"control","normoxic","ambient",2024-06-09 09:42:00,7.7,"normoxic"
2024-06-09,943,1,23.4,6.68,"control","normoxic","ambient",2024-06-09 09:43:00,7.64,"normoxic"
2024-06-09,1404,24,24.6,6.29,"warm","normoxic","warm",2024-06-09 14:04:00,7.49,"hypoxic"
2024-06-09,1405,23,24.6,6.46,"warm","normoxic","warm",2024-06-09 14:05:00,7.57,"hypoxic"
2024-06-09,1405,22,24.6,6.43,"warm","normoxic","warm",2024-06-09 14:05:00,7.54,"hypoxic"
2024-06-09,1406,21,24.6,6.44,"warm","normoxic","warm",2024-06-09 14:06:00,7.58,"hypoxic"
2024-06-09,1407,20,24.7,6.44,"warm","normoxic","warm",2024-06-09 14:07:00,7.59,"hypoxic"
2024-06-09,1407,19,24.7,6.42,"warm","normoxic","warm",2024-06-09 14:07:00,7.58,"hypoxic"
2024-06-09,1409,18,24.6,0.65,"both","hypoxic","warm",2024-06-09 14:09:00,7.49,"hypoxic"
2024-06-09,1411,17,24.5,0.95,"both","hypoxic","warm",2024-06-09 14:11:00,7.35,"hypoxic"
2024-06-09,1412,16,24.6,0.92,"both","hypoxic","warm",2024-06-09 14:12:00,7.45,"hypoxic"
2024-06-09,1414,15,24.5,0.79,"both","hypoxic","warm",2024-06-09 14:14:00,7.4,"hypoxic"
2024-06-09,1415,14,24.6,1,"both","hypoxic","warm",2024-06-09 14:15:00,7.4,"hypoxic"
2024-06-09,1416,13,24.6,0.64,"both","hypoxic","warm",2024-06-09 14:16:00,7.48,"hypoxic"
2024-06-09,1417,12,23.6,2.06,"hypoxic","hypoxic","ambient",2024-06-09 14:17:00,7.34,"hypoxic"
2024-06-09,1419,11,23.5,1.79,"hypoxic","hypoxic","ambient",2024-06-09 14:19:00,7.25,"hypoxic"
2024-06-09,1420,10,23.6,2.14,"hypoxic","hypoxic","ambient",2024-06-09 14:20:00,7.31,"hypoxic"
2024-06-09,1421,9,23.6,1.75,"hypoxic","hypoxic","ambient",2024-06-09 14:21:00,7.3,"hypoxic"
2024-06-09,1423,8,23.6,1.79,"hypoxic","hypoxic","ambient",2024-06-09 14:23:00,7.29,"hypoxic"
2024-06-09,1424,7,23.6,2.07,"hypoxic","hypoxic","ambient",2024-06-09 14:24:00,7.32,"hypoxic"
2024-06-09,1425,6,23.6,6.32,"control","normoxic","ambient",2024-06-09 14:25:00,7.57,"hypoxic"
2024-06-09,1426,5,23.6,6.52,"control","normoxic","ambient",2024-06-09 14:26:00,7.62,"hypoxic"
2024-06-09,1427,4,23.6,6.5,"control","normoxic","ambient",2024-06-09 14:27:00,7.59,"hypoxic"
2024-06-09,1427,3,23.6,6.49,"control","normoxic","ambient",2024-06-09 14:27:00,7.58,"hypoxic"
2024-06-09,1429,2,23.7,6.57,"control","normoxic","ambient",2024-06-09 14:29:00,7.65,"hypoxic"
2024-06-09,1430,1,23.6,6.43,"control","normoxic","ambient",2024-06-09 14:30:00,7.58,"hypoxic"
2024-06-10,900,1,23.3,6.54,"control","normoxic","ambient",2024-06-10 09:00:00,7.59,"normoxic"
2024-06-10,901,2,23.3,6.7,"control","normoxic","ambient",2024-06-10 09:01:00,7.66,"normoxic"
2024-06-10,902,3,23.3,6.47,"control","normoxic","ambient",2024-06-10 09:02:00,7.61,"normoxic"
2024-06-10,904,4,23.3,6.53,"control","normoxic","ambient",2024-06-10 09:04:00,7.62,"normoxic"
2024-06-10,905,5,23.3,6.14,"control","normoxic","ambient",2024-06-10 09:05:00,7.46,"normoxic"
2024-06-10,907,6,23.2,6.57,"control","normoxic","ambient",2024-06-10 09:07:00,7.61,"normoxic"
2024-06-10,908,7,23.3,4.51,"hypoxic","hypoxic","ambient",2024-06-10 09:08:00,7.3,"normoxic"
2024-06-10,910,8,23.3,3.94,"hypoxic","hypoxic","ambient",2024-06-10 09:10:00,7.3,"normoxic"
2024-06-10,912,9,23.3,3.77,"hypoxic","hypoxic","ambient",2024-06-10 09:12:00,7.34,"normoxic"
2024-06-10,913,10,23.3,3.92,"hypoxic","hypoxic","ambient",2024-06-10 09:13:00,7.34,"normoxic"
2024-06-10,914,11,23.3,5.06,"hypoxic","hypoxic","ambient",2024-06-10 09:14:00,7.19,"normoxic"
2024-06-10,916,12,23.3,3.32,"hypoxic","hypoxic","ambient",2024-06-10 09:16:00,7.46,"normoxic"
2024-06-10,917,13,24.4,3.37,"both","hypoxic","warm",2024-06-10 09:17:00,7.7,"normoxic"
2024-06-10,918,14,24.4,4.76,"both","hypoxic","warm",2024-06-10 09:18:00,7.54,"normoxic"
2024-06-10,919,15,24.3,4.9,"both","hypoxic","warm",2024-06-10 09:19:00,7.56,"normoxic"
2024-06-10,919,16,24.4,4.83,"both","hypoxic","warm",2024-06-10 09:19:00,7.6,"normoxic"
2024-06-10,920,17,24.3,4.92,"both","hypoxic","warm",2024-06-10 09:20:00,7.57,"normoxic"
2024-06-10,922,18,24.4,3.09,"both","hypoxic","warm",2024-06-10 09:22:00,7.74,"normoxic"
2024-06-10,923,19,24.4,6.74,"warm","normoxic","warm",2024-06-10 09:23:00,7.63,"normoxic"
2024-06-10,924,20,24.4,6.95,"warm","normoxic","warm",2024-06-10 09:24:00,7.63,"normoxic"
2024-06-10,925,21,24.4,6.68,"warm","normoxic","warm",2024-06-10 09:25:00,7.56,"normoxic"
2024-06-10,926,22,24.4,6.85,"warm","normoxic","warm",2024-06-10 09:26:00,7.61,"normoxic"
2024-06-10,927,23,24.2,6.32,"warm","normoxic","warm",2024-06-10 09:27:00,7.43,"normoxic"
2024-06-10,928,24,24.4,6.64,"warm","normoxic","warm",2024-06-10 09:28:00,7.52,"normoxic"
2024-06-10,1356,1,23.6,6.52,"control","normoxic","ambient",2024-06-10 13:56:00,7.58,"hypoxic"
2024-06-10,1358,2,23.7,6.64,"control","normoxic","ambient",2024-06-10 13:58:00,7.66,"hypoxic"
2024-06-10,1400,3,23.6,6.48,"control","normoxic","ambient",2024-06-10 14:00:00,7.63,"hypoxic"
2024-06-10,1402,4,23.6,6.56,"control","normoxic","ambient",2024-06-10 14:02:00,7.65,"hypoxic"
2024-06-10,1403,5,23.6,6.63,"control","normoxic","ambient",2024-06-10 14:03:00,7.6,"hypoxic"
2024-06-10,1405,6,23.5,6.55,"control","normoxic","ambient",2024-06-10 14:05:00,7.6,"hypoxic"
2024-06-10,1408,7,23.6,1.33,"hypoxic","hypoxic","ambient",2024-06-10 14:08:00,7.41,"hypoxic"
2024-06-10,1410,8,23.6,1.31,"hypoxic","hypoxic","ambient",2024-06-10 14:10:00,7.39,"hypoxic"
2024-06-10,1412,9,23.5,1.33,"hypoxic","hypoxic","ambient",2024-06-10 14:12:00,7.41,"hypoxic"
2024-06-10,1419,10,23.6,1.75,"hypoxic","hypoxic","ambient",2024-06-10 14:19:00,7.39,"hypoxic"
2024-06-10,1421,11,23.5,1.59,"hypoxic","hypoxic","ambient",2024-06-10 14:21:00,7.39,"hypoxic"
2024-06-10,1423,12,23.6,2.43,"hypoxic","hypoxic","ambient",2024-06-10 14:23:00,7.42,"hypoxic"
2024-06-10,1425,13,24.6,0.96,"both","hypoxic","warm",2024-06-10 14:25:00,7.42,"hypoxic"
2024-06-10,1426,14,24.6,1.22,"both","hypoxic","warm",2024-06-10 14:26:00,7.34,"hypoxic"
2024-06-10,1428,15,24.6,1.08,"both","hypoxic","warm",2024-06-10 14:28:00,7.42,"hypoxic"
2024-06-10,1430,16,24.7,1.12,"both","hypoxic","warm",2024-06-10 14:30:00,7.44,"hypoxic"
2024-06-10,1432,17,24.6,1.11,"both","hypoxic","warm",2024-06-10 14:32:00,7.43,"hypoxic"
2024-06-10,1434,18,24.7,0.99,"both","hypoxic","warm",2024-06-10 14:34:00,7.5,"hypoxic"
2024-06-10,1436,19,24.7,6.28,"warm","normoxic","warm",2024-06-10 14:36:00,7.61,"hypoxic"
2024-06-10,1437,20,24.7,6.43,"warm","normoxic","warm",2024-06-10 14:37:00,7.62,"hypoxic"
2024-06-10,1438,21,24.6,6.24,"warm","normoxic","warm",2024-06-10 14:38:00,7.58,"hypoxic"
2024-06-10,1440,22,24.6,6.31,"warm","normoxic","warm",2024-06-10 14:40:00,7.59,"hypoxic"
2024-06-10,1442,23,23.8,5.34,"warm","normoxic","warm",2024-06-10 14:42:00,7.26,"hypoxic"
2024-06-10,1443,24,24.6,6.28,"warm","normoxic","warm",2024-06-10 14:43:00,7.55,"hypoxic"
2024-06-11,928,24,25,7.02,"warm","normoxic","warm",2024-06-11 09:28:00,7.81,"normoxic"
2024-06-11,929,23,24.9,6.59,"warm","normoxic","warm",2024-06-11 09:29:00,7.63,"normoxic"
2024-06-11,931,22,25.1,6.98,"warm","normoxic","warm",2024-06-11 09:31:00,7.78,"normoxic"
