Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes_post,Displacement368.7,Tag,CondRepl,Shell#,Area_post_mm2,Feret_post_mm,AreaNotes_Post,,,,,,,,,,,,,,,,,,,,,,,
228,8122024,2024,Hyp,2,Cont,2,B,16,2024_Hyp02_Cont02_B16,598.2,1420.5,,,822.3,B16,Cont2,13,375.1,26.1,,,,,,,,,,,,,,,,,,,,,,,,
327,8122024,2024,Hyp,2,Hyp,2,B,16,2024_Hyp02_Hyp02_B16,581.5,1376.9,,,795.4,B16,Hyp2,9,411.4,26,,,,,,,,,,,,,,,,,,,,,,,,
244,8122024,2024,Hyp,2,Warm,2,B,16,2024_Hyp02_Warm02_B16,423,996.7,,,573.7,B16,Warm2,4,281,21.7,,,,,,,,,,,,,,,,,,,,,,,,
362,8122024,2024,Hyp,3,Both,2,B,17,2024_Hyp03_Both02_B17,938.6,2430.8,,,1492.2,B17,Both2,2,653.4,31,,,,,,,,,,,,,,,,,,,,,,,,
226,8122024,2024,Hyp,3,Cont,2,B,17,2024_Hyp03_Cont02_B17,506.7,1367.9,,,861.2,B17,Cont2,11,454.7,26.4,,,,,,,,,,,,,,,,,,,,,,,,
292,8122024,2024,Hyp,3,Hyp,2,B,17,2024_Hyp03_Hyp02_B17,725.3,1679.9,,,954.6,B17,Hyp2,4,448.2,28.7,,,,,,,,,,,,,,,,,,,,,,,,
269,8122024,2024,Hyp,3,Warm,2,B,17,2024_Hyp03_Warm02_B17,375.2,899.5,,,524.3,B17,Warm2,1,303.5,22.4,,,,,,,,,,,,,,,,,,,,,,,,
382,8122024,2024,Hyp,3,Both,2,B,18,2024_Hyp03_Both02_B18,628.3,1377.2,,,748.9,B18,Both2,22,281.9,22.9,,,,,,,,,,,,,,,,,,,,,,,,
216,8122024,2024,Hyp,3,Cont,2,B,18,2024_Hyp03_Cont02_B18,933.9,2353.9,,,1420,B18,Cont2,9,381,25.1,,,,,,,,,,,,,,,,,,,,,,,,
303,8122024,2024,Hyp,3,Hyp,2,B,18,2024_Hyp03_Hyp02_B18,496.6,1161,,,664.4,B18,Hyp2,6,317,22.4,,,,,,,,,,,,,,,,,,,,,,,,
276,8122024,2024,Hyp,3,Warm,2,B,18,2024_Hyp03_Warm02_B18,602.9,1263.8,,,660.9,B18,Warm2,11,277.6,21.5,,,,,,,,,,,,,,,,,,,,,,,,
375,8122024,2024,Hyp,4,Both,2,B,19,2024_Hyp04_Both02_B19,651.4,1631.5,,,980.1,B19,Both2,15,397.6,27.7,,,,,,,,,,,,,,,,,,,,,,,,
234,8122024,2024,Hyp,4,Cont,2,B,19,2024_Hyp04_Cont02_B19,595.3,1448.1,,,852.8,B19,Cont2,19,377.6,23.9,,,,,,,,,,,,,,,,,,,,,,,,
291,8122024,2024,Hyp,4,Hyp,2,B,19,2024_Hyp04_Hyp02_B19,175.4,449.6,,,274.2,B19,Hyp2,3,193.2,18.1,,,,,,,,,,,,,,,,,,,,,,,,
257,8122024,2024,Hyp,4,Warm,2,B,19,2024_Hyp04_Warm02_B19,174.1,415.9,,,241.8,B19,Warm2,16,152.7,17.5,,,,,,,,,,,,,,,,,,,,,,,,
181,8122024,2024,Hyp,1,Both,1,B,2,2024_Hyp01_Both01_B2,201.8,527.6,,,325.8,B2,Both1,14,201,18.6,,,,,,,,,,,,,,,,,,,,,,,,
17,8122024,2024,Hyp,1,Cont,1,B,2,2024_Hyp01_Cont01_B2,259.5,617.7,,,358.2,B2,Cont1,8,238,20.3,,,,,,,,,,,,,,,,,,,,,,,,
69,8122024,2024,Hyp,1,Hyp,1,B,2,2024_Hyp01_Hyp01_B2,326.1,719.4,,,393.3,B2,Hyp1,11,205.3,19.5,,,,,,,,,,,,,,,,,,,,,,,,
102,8122024,2024,Hyp,1,Warm,1,B,2,2024_Hyp01_Warm01_B2,198.2,443.3,,,245.1,B2,Warm1,5,173.7,17.4,,,,,,,,,,,,,,,,,,,,,,,,
353,8122024,2024,Hyp,4,Both,2,B,20,2024_Hyp04_Both02_B20,388,986.8,,,598.8,B20,Both2,13,338.4,22.4,,,,,,,,,,,,,,,,,,,,,,,,
231,8122024,2024,Hyp,4,Cont,2,B,20,2024_Hyp04_Cont02_B20,680.7,1599.3,,,918.6,B20,Cont2,12,407,26.5,,,,,,,,,,,,,,,,,,,,,,,,
308,8122024,2024,Hyp,4,Hyp,2,B,20,2024_Hyp04_Hyp02_B20,720.6,1723.7,,,1003.1,B20,Hyp2,11,512.3,30.2,,,,,,,,,,,,,,,,,,,,,,,,
286,8122024,2024,Hyp,4,Warm,2,B,20,2024_Hyp04_Warm02_B20,271.4,639.3,,,367.9,B20,Warm2,24,158.2,15.5,,,,,,,,,,,,,,,,,,,,,,,,
356,8122024,2024,Hyp,5,Both,2,B,21,2024_Hyp05_Both02_B21,396.6,886.1,,,489.5,B21,Both2,16,255.8,21.3,,,,,,,,,,,,,,,,,,,,,,,,
203,8122024,2024,Hyp,5,Cont,2,B,21,2024_Hyp05_Cont02_B21,1034.9,2291.8,,,1256.9,B21,Cont2,2,494.9,31.4,,,,,,,,,,,,,,,,,,,,,,,,
318,8122024,2024,Hyp,5,Hyp,2,B,21,2024_Hyp05_Hyp02_B21,693.2,1626.8,,,933.6,B21,Hyp2,3,450.2,30.5,,,,,,,,,,,,,,,,,,,,,,,,
288,8122024,2024,Hyp,5,Warm,2,B,21,2024_Hyp05_Warm02_B21,319,732.3,,,413.3,B21,Warm2,20,233.1,19.6,,,,,,,,,,,,,,,,,,,,,,,,
337,8122024,2024,Hyp,5,Both,2,B,22,2024_Hyp05_Both02_B22,224.8,516,,,291.2,B22,Both2,8,141.2,14.9,,,,,,,,,,,,,,,,,,,,,,,,
196,8122024,2024,Hyp,5,Cont,2,B,22,2024_Hyp05_Cont02_B22,507.5,1233.5,,,726,B22,Cont2,7,310.9,23.4,,,,,,,,,,,,,,,,,,,,,,,,
304,8122024,2024,Hyp,5,Hyp,2,B,22,2024_Hyp05_Hyp02_B22,642.4,1530.9,,,888.5,B22,Hyp2,7,402.1,25.6,,,,,,,,,,,,,,,,,,,,,,,,
275,8122024,2024,Hyp,5,Warm,2,B,22,2024_Hyp05_Warm02_B22,294.5,691.9,,,397.4,B22,Warm2,16,270.4,21.4,,,,,,,,,,,,,,,,,,,,,,,,
371,8122024,2024,Hyp,6,Both,2,B,23,2024_Hyp06_Both02_B23,549.2,1400.7,,,851.5,B23,Both2,10,488.3,29,,,,,,,,,,,,,,,,,,,,,,,,
207,8122024,2024,Hyp,6,Cont,2,B,23,2024_Hyp06_Cont02_B23,891.5,2063.1,,,1171.6,B23,Cont2,1,446.8,30.9,,,,,,,,,,,,,,,,,,,,,,,,
314,8122024,2024,Hyp,6,Hyp,2,B,23,2024_Hyp06_Hyp02_B23,428.1,1098.7,,,670.6,B23,Hyp2,2,381.2,26.9,,,,,,,,,,,,,,,,,,,,,,,,
254,8122024,2024,Hyp,6,Warm,2,B,23,2024_Hyp06_Warm02_B23,656.3,1528.8,,,872.5,B23,Warm2,2,412.8,25.6,,,,,,,,,,,,,,,,,,,,,,,,
357,8122024,2024,Hyp,6,Both,2,B,24,2024_Hyp06_Both02_B24,536.4,1149.6,,,613.2,B24,Both2,11,282.1,20,,,,,,,,,,,,,,,,,,,,,,,,
238,8122024,2024,Hyp,6,Cont,2,B,24,2024_Hyp06_Cont02_B24,282.6,661,,,378.4,B24,Cont2,22,250.7,20.5,,,,,,,,,,,,,,,,,,,,,,,,
315,8122024,2024,Hyp,6,Hyp,2,B,24,2024_Hyp06_Hyp02_B24,561.7,1415.1,,,853.4,B24,Hyp2,8,381.7,25.2,,,,,,,,,,,,,,,,,,,,,,,,
246,8122024,2024,Hyp,6,Warm,2,B,24,2024_Hyp06_Warm02_B24,669.6,1556.4,,,886.8,B24,Warm2,3,361.4,24,,,,,,,,,,,,,,,,,,,,,,,,
541,8122024,2024,Hyp,1,Both,3,B,25,2024_Hyp01_Both03_B25,370.7,956.9,,,586.2,B25,Both3,1,286.4,22,,,,,,,,,,,,,,,,,,,,,,,,
415,8122024,2024,Hyp,1,Cont,3,B,25,2024_Hyp01_Cont03_B25,263.2,704.9,,,441.7,B25,Cont3,7,240.6,23.7,,,,,,,,,,,,,,,,,,,,,,,,
512,8122024,2024,Hyp,1,Hyp,3,B,25,2024_Hyp01_Hyp03_B25,265,641.7,,,376.7,B25,Hyp3,8,229,19.8,,,,,,,,,,,,,,,,,,,,,,,,
441,8122024,2024,Hyp,1,Warm,3,B,25,2024_Hyp01_Warm03_B25,460.1,1065.1,,,605,B25,Warm3,4,347.4,26.4,,,,,,,,,,,,,,,,,,,,,,,,
555,8122024,2024,Hyp,1,Both,3,B,26,2024_Hyp01_Both03_B26,226.6,566.7,,,340.1,B26,Both3,7,237,21.5,,,,,,,,,,,,,,,,,,,,,,,,
425,8122024,2024,Hyp,1,Cont,3,B,26,2024_Hyp01_Cont03_B26,343.5,807.2,,,463.7,B26,Cont3,22,251.1,20.2,,,,,,,,,,,,,,,,,,,,,,,,
514,8122024,2024,Hyp,1,Hyp,3,B,26,2024_Hyp01_Hyp03_B26,228.5,587.9,,,359.4,B26,Hyp3,10,212.5,18.3,,,,,,,,,,,,,,,,,,,,,,,,
437,8122024,2024,Hyp,1,Warm,3,B,26,2024_Hyp01_Warm03_B26,188.3,478.9,,,290.6,B26,Warm3,5,161.4,18,,,,,,,,,,,,,,,,,,,,,,,,
557,8122024,2024,Hyp,2,Both,3,B,27,2024_Hyp02_Both03_B27,347.3,835.9,,,488.6,B27,Both3,4,307,23.4,,,,,,,,,,,,,,,,,,,,,,,,
403,8122024,2024,Hyp,2,Cont,3,B,27,2024_Hyp02_Cont03_B27,493.7,1227.7,,,734,B27,Cont3,10,306.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,
517,8122024,2024,Hyp,2,Hyp,3,B,27,2024_Hyp02_Hyp03_B27,298.6,753.1,,,454.5,B27,Hyp3,12,244.5,19.7,,,,,,,,,,,,,,,,,,,,,,,,
459,8122024,2024,Hyp,2,Warm,3,B,27,2024_Hyp02_Warm03_B27,731.8,1664.7,,,932.9,B27,Warm3,1,408.4,27.4,,,,,,,,,,,,,,,,,,,,,,,,
575,8122024,2024,Hyp,2,Both,3,B,28,2024_Hyp02_Both03_B28,190.5,498.3,,,307.8,B28,Both3,24,178.4,16.9,,,,,,,,,,,,,,,,,,,,,,,,
412,8122024,2024,Hyp,2,Cont,3,B,28,2024_Hyp02_Cont03_B28,391.4,845.1,,,453.7,B28,Cont3,4,250.4,21.9,,,,,,,,,,,,,,,,,,,,,,,,
493,8122024,2024,Hyp,2,Hyp,3,B,28,2024_Hyp02_Hyp03_B28,192.5,507.6,,,315.1,B28,Hyp3,1,210.1,17.8,,,,,,,,,,,,,,,,,,,,,,,,
449,8122024,2024,Hyp,2,Warm,3,B,28,2024_Hyp02_Warm03_B28,564.2,1428.6,,,864.4,B28,Warm3,10,405.5,25.1,,,,,,,,,,,,,,,,,,,,,,,,
566,8122024,2024,Hyp,3,Both,3,B,29,2024_Hyp03_Both03_B29,69.4,228.8,,,159.4,B29,Both3,15,158,15.6,,,,,,,,,,,,,,,,,,,,,,,,
431,8122024,2024,Hyp,3,Cont,3,B,29,2024_Hyp03_Cont03_B29,293.9,740.6,,,446.7,B29,Cont3,23,304,23.9,,,,,,,,,,,,,,,,,,,,,,,,
507,8122024,2024,Hyp,3,Hyp,3,B,29,2024_Hyp03_Hyp03_B29,252.7,629.2,,,376.5,B29,Hyp3,5,226.2,20,,,,,,,,,,,,,,,,,,,,,,,,
446,8122024,2024,Hyp,3,Warm,3,B,29,2024_Hyp03_Warm03_B29,334.2,776.1,,,441.9,B29,Warm3,5,227.2,20.4,,,,,,,,,,,,,,,,,,,,,,,,
158,8122024,2024,Hyp,2,Both,1,B,3,2024_Hyp02_Both01_B3,187.8,465.7,,,277.9,B3,Both1,8,202.8,19.5,,,,,,,,,,,,,,,,,,,,,,,,
10,8122024,2024,Hyp,2,Cont,1,B,3,2024_Hyp02_Cont01_B3,476.7,1107.4,,,630.7,B3,Cont1,6,359.6,23.9,,,,,,,,,,,,,,,,,,,,,,,,
52,8122024,2024,Hyp,2,Hyp,1,B,3,2024_Hyp02_Hyp01_B3,624.8,1489.7,,,864.9,B3,Hyp1,6,375.5,24.9,,,,,,,,,,,,,,,,,,,,,,,,
135,8122024,2024,Hyp,2,Warm,1,B,3,2024_Hyp02_Warm01_B3,260.1,629.8,,,369.7,B3,Warm1,16,201.4,20.5,,,,,,,,,,,,,,,,,,,,,,,,
538,8122024,2024,Hyp,3,Both,3,B,30,2024_Hyp03_Both03_B30,312.3,787.5,,,475.2,B30,Both3,4,286,20.8,,,,,,,,,,,,,,,,,,,,,,,,
427,8122024,2024,Hyp,3,Cont,3,B,30,2024_Hyp03_Cont03_B30,262.4,655.8,,,393.4,B30,Cont3,18,215,20.5,,,,,,,,,,,,,,,,,,,,,,,,
523,8122024,2024,Hyp,3,Hyp,3,B,30,2024_Hyp03_Hyp03_B30,315.7,778.3,,,462.6,B30,Hyp3,18,230.8,21.2,,,,,,,,,,,,,,,,,,,,,,,,
438,8122024,2024,Hyp,3,Warm,3,B,30,2024_Hyp03_Warm03_B30,178.2,405,,,226.8,B30,Warm3,6,105.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,
556,8122024,2024,Hyp,4,Both,3,B,31,2024_Hyp04_Both03_B31,380.9,919.1,,,538.2,B31,Both3,3,286.5,21.6,,,,,,,,,,,,,,,,,,,,,,,,
399,8122024,2024,Hyp,4,Cont,3,B,31,2024_Hyp04_Cont03_B31,260.8,657.2,,,396.4,B31,Cont3,7,213.4,20,,,,,,,,,,,,,,,,,,,,,,,,
510,8122024,2024,Hyp,4,Hyp,3,B,31,2024_Hyp04_Hyp03_B31,378.5,972.8,,,594.3,B31,Hyp3,6,346.5,24.7,,,,,,,,,,,,,,,,,,,,,,,,
475,8122024,2024,Hyp,4,Warm,3,B,31,2024_Hyp04_Warm03_B31,397.2,1070.5,,,673.3,B31,Warm3,17,332.2,23.2,,,,,,,,,,,,,,,,,,,,,,,,
574,8122024,2024,Hyp,4,Both,3,B,32,2024_Hyp04_Both03_B32,245,566.5,,,321.5,B32,Both3,21,208.6,18.1,,,,,,,,,,,,,,,,,,,,,,,,
386,8122024,2024,Hyp,4,Cont,3,B,32,2024_Hyp04_Cont03_B32,400.1,920.1,,,520,B32,Cont3,2,297.3,22.9,,,,,,,,,,,,,,,,,,,,,,,,
495,8122024,2024,Hyp,4,Hyp,3,B,32,2024_Hyp04_Hyp03_B32,551.1,1350.3,,,799.2,B32,Hyp3,4,339.5,23,,,,,,,,,,,,,,,,,,,,,,,,
463,8122024,2024,Hyp,4,Warm,3,B,32,2024_Hyp04_Warm03_B32,136.7,317.1,,,180.4,B32,Warm3,6,120.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,
544,8122024,2024,Hyp,5,Both,3,B,33,2024_Hyp05_Both03_B33,443.1,1053.5,,,610.4,B33,Both3,2,310.3,26.1,,,,,,,,,,,,,,,,,,,,,,,,
406,8122024,2024,Hyp,5,Cont,3,B,33,2024_Hyp05_Cont03_B33,345.2,908.4,,,563.2,B33,Cont3,13,305.2,23.7,,,,,,,,,,,,,,,,,,,,,,,,
466,8122024,2024,Hyp,5,Warm,3,B,33,2024_Hyp05_Warm03_B33,682.3,1812.8,,,1130.5,B33,Warm3,9,514.6,27.6,,,,,,,,,,,,,,,,,,,,,,,,
534,8122024,2024,Hyp,5,Both,3,B,34,2024_Hyp05_Both03_B34,99.1,243.8,,,144.7,B34,Both3,5,133.3,14.8,,,,,,,,,,,,,,,,,,,,,,,,
424,8122024,2024,Hyp,5,Cont,3,B,34,2024_Hyp05_Cont03_B34,399.4,962.7,,,563.3,B34,Cont3,17,319.4,23.5,,,,,,,,,,,,,,,,,,,,,,,,
491,8122024,2024,Hyp,5,Hyp,3,B,34,2024_Hyp05_Hyp03_B34,348.3,829.8,,,481.5,B34,Hyp3,7,265.4,21.6,,,,,,,,,,,,,,,,,,,,,,,,
478,8122024,2024,Hyp,5,Warm,3,B,34,2024_Hyp05_Warm03_B34,234.2,537.7,,,303.5,B34,Warm3,21,203.4,17.4,,,,,,,,,,,,,,,,,,,,,,,,
543,8122024,2024,Hyp,6,Both,3,B,35,2024_Hyp06_Both03_B35,724.6,1597.2,,,872.6,B35,Both3,6,411.8,25.1,,,,,,,,,,,,,,,,,,,,,,,,
407,8122024,2024,Hyp,6,Cont,3,B,35,2024_Hyp06_Cont03_B35,279.6,674.3,,,394.7,B35,Cont3,14,218.8,17.9,,,,,,,,,,,,,,,,,,,,,,,,
464,8122024,2024,Hyp,6,Warm,3,B,35,2024_Hyp06_Warm03_B35,435.3,1088,,,652.7,B35,Warm3,3,298.1,22.8,,,,,,,,,,,,,,,,,,,,,,,,
533,8122024,2024,Hyp,6,Both,3,B,36,2024_Hyp06_Both03_B36,276.1,712.4,,,436.3,B36,Both3,1,231.2,19.2,,,,,,,,,,,,,,,,,,,,,,,,
387,8122024,2024,Hyp,6,Cont,3,B,36,2024_Hyp06_Cont03_B36,235.8,573.4,,,337.6,B36,Cont3,3,219.3,20.5,,,,,,,,,,,,,,,,,,,,,,,,
498,8122024,2024,Hyp,6,Hyp,3,B,36,2024_Hyp06_Hyp03_B36,488.9,1175.3,,,686.4,B36,Hyp3,15,313.1,22.3,,,,,,,,,,,,,,,,,,,,,,,,
447,8122024,2024,Hyp,6,Warm,3,B,36,2024_Hyp06_Warm03_B36,207.5,495.2,,,287.7,B36,Warm3,2,208.4,19.3,,,,,,,,,,,,,,,,,,,,,,,,
767,8122024,2024,Hyp,1,Both,4,B,37,2024_Hyp01_Both04_B37,229.4,558.4,,,329,B37,Both4,24,176.7,18.4,,,,,,,,,,,,,,,,,,,,,,,,
615,8122024,2024,Hyp,1,Cont,4,B,37,2024_Hyp01_Cont04_B37,529.6,1282.9,,,753.3,B37,Cont4,11,312.6,23.2,,,,,,,,,,,,,,,,,,,,,,,,
674,8122024,2024,Hyp,1,Hyp,4,B,37,2024_Hyp01_Hyp04_B37,431.2,987.5,,,556.3,B37,Hyp4,2,303.1,22.2,,,,,,,,,,,,,,,,,,,,,,,,
643,8122024,2024,Hyp,1,Warm,4,B,37,2024_Hyp01_Warm04_B37,492.6,1212.8,,,720.2,B37,Warm4,12,302.5,22.4,,,,,,,,,,,,,,,,,,,,,,,,
761,8122024,2024,Hyp,1,Both,4,B,38,2024_Hyp01_Both04_B38,398.2,968,,,569.8,B38,Both4,19,313.8,24.9,,,,,,,,,,,,,,,,,,,,,,,,
598,8122024,2024,Hyp,1,Cont,4,B,38,2024_Hyp01_Cont04_B38,291.4,650.3,,,358.9,B38,Cont4,11,212.7,19.2,,,,,,,,,,,,,,,,,,,,,,,,
686,8122024,2024,Hyp,1,Hyp,4,B,38,2024_Hyp01_Hyp04_B38,400.4,1070.9,,,670.5,B38,Hyp4,4,304,23.8,,,,,,,,,,,,,,,,,,,,,,,,
628,8122024,2024,Hyp,1,Warm,4,B,38,2024_Hyp01_Warm04_B38,294.4,684.4,,,390,B38,Warm4,4,228.3,20.5,,,,,,,,,,,,,,,,,,,,,,,,
757,8122024,2024,Hyp,2,Both,4,B,39,2024_Hyp02_Both04_B39,452.1,1112.8,,,660.7,B39,Both4,12,321.5,23.7,,,,,,,,,,,,,,,,,,,,,,,,
612,8122024,2024,Hyp,2,Cont,4,B,39,2024_Hyp02_Cont04_B39,417.5,965.5,,,548,B39,Cont4,10,317.6,25.4,,,,,,,,,,,,,,,,,,,,,,,,
704,8122024,2024,Hyp,2,Hyp,4,B,39,2024_Hyp02_Hyp04_B39,412.3,990.3,,,578,B39,Hyp4,2,316.1,22.1,,,,,,,,,,,,,,,,,,,,,,,,
666,8122024,2024,Hyp,2,Warm,4,B,39,2024_Hyp02_Warm04_B39,227.7,582.1,,,354.4,B39,Warm4,22,246.9,21.1,,,,,,,,,,,,,,,,,,,,,,,,
178,8122024,2024,Hyp,2,Both,1,B,4,2024_Hyp02_Both01_B4,271,691.8,,,420.8,B4,Both1,11,237.3,19.9,,,,,,,,,,,,,,,,,,,,,,,,
7,8122024,2024,Hyp,2,Cont,1,B,4,2024_Hyp02_Cont01_B4,301.1,720.3,,,419.2,B4,Cont1,4,242.8,19.9,,,,,,,,,,,,,,,,,,,,,,,,
61,8122024,2024,Hyp,2,Hyp,1,B,4,2024_Hyp02_Hyp01_B4,527.7,1250.7,,,723,B4,Hyp1,7,375.3,24.6,,,,,,,,,,,,,,,,,,,,,,,,
132,8122024,2024,Hyp,2,Warm,1,B,4,2024_Hyp02_Warm01_B4,238.9,619.2,,,380.3,B4,Warm1,13,223.4,19.3,,,,,,,,,,,,,,,,,,,,,,,,
748,8122024,2024,Hyp,2,Both,4,B,40,2024_Hyp02_Both04_B40,464.8,1042.4,,,577.6,B40,Both4,4,296.2,22.9,,,,,,,,,,,,,,,,,,,,,,,,
595,8122024,2024,Hyp,2,Cont,4,B,40,2024_Hyp02_Cont04_B40,402.5,1041.3,,,638.8,B40,Cont4,15,327.1,23.8,,,,,,,,,,,,,,,,,,,,,,,,
715,8122024,2024,Hyp,2,Hyp,4,B,40,2024_Hyp02_Hyp04_B40,169.3,409.3,,,240,B40,Hyp4,18,176.1,17.1,,,,,,,,,,,,,,,,,,,,,,,,
651,8122024,2024,Hyp,2,Warm,4,B,40,2024_Hyp02_Warm04_B40,289.1,723.7,,,434.6,B40,Warm4,5,222.7,19.3,,,,,,,,,,,,,,,,,,,,,,,,
