"Sample_Name","Phase_1_DO","Phase_1_temp","Phase_2.1_DO","Phase_2.1_temp","Phase_1_treat","Phase_2_treat","Phase_1_rep_R","Phase_2_rep_R","Actual_shell_pre_mg","Actual_tissue_pre_mg","Actual_shell_post_mg","Actual_tissue_post_mg","Actual_shell_growth_mg","Actual_tissue_growth_mg","Exclude_all","Exclude_pre_analysis","Notes_pre","Notes_post","Area_pre_mm2","Feret_pre_mm","AreaNotes_Pre","Area_post_mm2","Feret_post_mm","AreaNotes_Post","Area_growth_mm2","Feret_growth_mm"
"2024_Both01_Cont03_O26","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont03",959.42886,532.27114,1220.21484,654.68516,260.78598,122.41402,"Y","Y",NA,"double, 1/17/24 SKM excluded because it was marked as a double in the post notes",575.4,32.2,NA,426,28.4,NA,-149.4,-3.8
"2024_Both01_Cont04_O37","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont04",302.4762,160.2238,512.43504,252.56496,209.95884,92.34116,NA,NA,NA,NA,182.4,16.6,NA,267.4,20.7,NA,85,4.1
"2024_Both01_Cont04_O38","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont04",320.36862,184.13138,598.88868,365.51132,278.52006,181.37994,NA,NA,NA,NA,198.8,18.1,NA,262.5,21.5,NA,63.7,3.4
"2024_Both01_Cont05_O49","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont05",302.4762,221.3238,410.1474,275.7526,107.6712,54.4288,NA,NA,NA,NA,171.7,18.4,NA,266,20.6,NA,94.3,2.2
"2024_Both01_Cont05_O50","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont05",168.04554,119.25446,352.82832,224.77168,184.78278,105.51722,NA,NA,NA,NA,153.5,15.5,NA,213.6,18.5,NA,60.1,3
"2024_Both01_Cont06_O61","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont06",184.35456,143.14544,461.44956,253.65044,277.095,110.505,NA,NA,NA,NA,151.8,17,NA,280.2,22.9,NA,128.4,5.9
"2024_Both01_Cont06_O62","Hyp","Warm","Norm","Ambient","Both","Cont","Both01","Cont06",292.81746,194.78254,557.56194,317.83806,264.74448,123.05552,NA,NA,NA,NA,197.4,18.5,NA,286.2,24.6,NA,88.8,6.1
"2024_Both01_Hyp01_O1","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp01",712.10178,231.59822,986.18832,337.41168,274.08654,105.81346,NA,NA,NA,NA,263.4,20.4,NA,323.7,23.2,NA,60.3,2.8
"2024_Both01_Hyp01_O2","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp01",158.3868,91.3132,337.311,195.389,178.9242,104.0758,NA,NA,NA,NA,118.9,14.9,NA,190.6,19.9,NA,71.7,5
"2024_Both01_Hyp02_O13","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp02",380.22114,318.37886,615.35604,336.94396,235.1349,18.5651,NA,NA,NA,NA,311.4,23.8,NA,326.9,23.1,NA,15.5,-0.699999999999999
"2024_Both01_Hyp02_O14","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp02",568.01238,323.08762,933.30276,399.59724,365.29038,76.50962,NA,NA,NA,NA,334.3,23.2,NA,355.4,26.2,NA,21.1,3
"2024_Both01_Hyp03_O25","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp03",263.20788,162.59212,500.24286,274.85714,237.03498,112.26502,NA,NA,NA,NA,161.5,16.3,NA,235.7,19.5,NA,74.2,3.2
"2024_Both01_Hyp03_O26","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp03",177.3876,96.3124,311.81826,161.68174,134.43066,65.36934,NA,NA,NA,NA,142.6,15.4,NA,157.2,17.2,NA,14.6,1.8
"2024_Both01_Hyp04_O37","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp04",337.46934,164.23066,423.13128,210.16872,85.66194,45.93806,NA,NA,NA,NA,188.8,17.8,NA,214.6,18.6,NA,25.8,0.800000000000001
"2024_Both01_Hyp04_O38","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp04",281.41698,172.48302,373.57086,227.42914,92.15388,54.94612,NA,NA,NA,NA,180.9,18.1,NA,214.2,18.4,NA,33.3,0.299999999999997
"2024_Both01_Hyp05_O49","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp05",514.01844,277.38156,738.7029,395.1971,224.68446,117.81554,NA,NA,NA,NA,311.1,22.5,NA,357.5,26,NA,46.4,3.5
"2024_Both01_Hyp05_O50","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp05",133.68576,120.41424,160.12854,124.07146,26.44278,3.65722,NA,NA,NA,NA,123.4,14.1,NA,110.1,14.3,NA,-13.3,0.200000000000001
"2024_Both01_Hyp06_O61","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp06",395.42178,167.07822,562.47048,219.02952,167.0487,51.9513,NA,NA,NA,NA,213.4,17.6,NA,224.6,18.5,NA,11.2,0.899999999999999
"2024_Both01_Hyp06_O62","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both01","Hyp06",333.82752,159.97248,507.5265,275.5735,173.69898,115.60102,NA,NA,NA,NA,246.1,20.6,NA,250.5,21.1,NA,4.40000000000001,0.5
"2024_Both01_Warm01_O1","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm01",192.74658,173.35342,186.72966,176.47034,-6.01692,3.11692,"Y",NA,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",137.3,15.1,NA,155.7,14.9,NA,18.4,-0.199999999999999
"2024_Both01_Warm01_O2","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm01",148.0947,126.7053,259.7244,198.0756,111.6297,71.3703,NA,NA,NA,NA,142,15.3,NA,172.9,16,NA,30.9,0.699999999999999
"2024_Both01_Warm02_O13","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm02",445.29888,390.30112,931.8777,537.7223,486.57882,147.42118,NA,NA,NA,NA,370.9,25.1,NA,449,25.9,NA,78.1,0.799999999999997
"2024_Both01_Warm02_O14","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm02",338.73606,199.26394,654.30768,345.79232,315.57162,146.52838,NA,NA,NA,NA,200,18,NA,301.5,21.2,NA,101.5,3.2
"2024_Both01_Warm03_O25","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm03",213.33078,144.96922,471.42498,258.07502,258.0942,113.1058,NA,NA,NA,NA,137,15.7,NA,181.6,19.4,NA,44.6,3.7
"2024_Both01_Warm03_O26","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm03",185.77962,142.62038,349.81986,239.68014,164.04024,97.05976,NA,NA,NA,NA,113.4,14.3,NA,172.4,20,"6/26/25 SKM Manually calculated post phase 2 data from remeasuring scales and converting from pixels",59,5.7
"2024_Both01_Warm04_O37","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm04",166.3038,125.2962,603.79722,81.80278,437.49342,-43.49342,"Y",NA,NA,"1/17/25 SKM excluded because of extreme tissue loss compared to size; likely dead",139.5,15.9,NA,246.3,21.9,NA,106.8,6
"2024_Both01_Warm04_O38","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm04",363.4371,175.3629,519.87702,222.42298,156.43992,47.06008,NA,NA,NA,NA,216.3,18.7,NA,225.5,18.9,NA,9.19999999999999,0.199999999999999
"2024_Both01_Warm05_O49","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm05",220.9311,145.2689,366.28722,207.41278,145.35612,62.14388,NA,NA,NA,NA,151.7,16,NA,189.5,18.7,NA,37.8,2.7
"2024_Both01_Warm05_O50","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm05",567.53736,332.26264,883.42566,417.87434,315.8883,85.6117,NA,NA,NA,NA,376.2,25.7,NA,410.1,26.4,NA,33.9,0.699999999999999
"2024_Both01_Warm06_O61","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm06",612.18924,323.91076,1021.49814,454.50186,409.3089,130.5911,NA,NA,NA,NA,287.7,21.3,NA,350.5,25.7,NA,62.8,4.4
"2024_Both01_Warm06_O62","Hyp","Warm","Norm","Warm","Both","Warm","Both01","Warm06",669.98334,2.71666,758.65374,419.64626,88.6704,416.9296,"Y","Y",NA,"12/20/24 SKM excluded because it looks like it might be a double in the photo",208.2,18.9,NA,291.8,24.8,NA,83.6,5.9
"2024_Both02_Both01_O3","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both01",190.68816,88.61184,219.50604,102.59396,28.81788,13.98212,NA,NA,NA,NA,118.1,14.2,NA,121.8,14,NA,3.7,-0.199999999999999
"2024_Both02_Both01_O4","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both01",308.96814,182.73186,460.65786,273.64214,151.68972,90.91028,NA,NA,NA,NA,166.2,16.4,NA,277,20.6,NA,110.8,4.2
"2024_Both02_Both02_O15","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both02",459.54948,308.95052,723.81894,436.68106,264.26946,127.73054,NA,NA,NA,NA,326.3,24.4,NA,367.9,25.2,NA,41.6,0.800000000000001
"2024_Both02_Both02_O16","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both02",486.30894,394.29106,811.22262,535.07738,324.91368,140.78632,NA,NA,NA,NA,331.2,22.4,NA,368.2,24.4,NA,37,2
"2024_Both02_Both03_O27","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both03",182.45448,81.74552,293.45082,142.44918,110.99634,60.70366,NA,NA,NA,NA,91.2,12.8,NA,163.8,17.7,NA,72.6,4.9
"2024_Both02_Both03_O28","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both03",177.70428,137.59572,350.29488,210.80512,172.5906,73.2094,NA,NA,NA,NA,100.9,13,NA,167.3,15.7,NA,66.4,2.7
"2024_Both02_Both04_O39","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both04",123.86868,82.03132,133.0524,89.5476,9.18372,7.51628,NA,NA,NA,NA,88.7,12.3,NA,97.8,12.8,NA,9.09999999999999,0.5
"2024_Both02_Both04_O40","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both04",505.78476,308.11524,739.17792,331.02208,233.39316,22.90684,NA,NA,NA,NA,286.2,24.1,NA,351.4,24.7,NA,65.2,0.599999999999998
"2024_Both02_Both05_O51","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both05",199.08018,121.71982,313.40166,166.19834,114.32148,44.47852,NA,NA,NA,NA,129.5,15,NA,160.6,17,NA,31.1,2
"2024_Both02_Both05_O52","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both05",358.6869,155.2131,637.04862,176.05138,278.36172,20.83828,NA,NA,NA,NA,191.3,18.5,NA,237.2,19.8,"7/4/25 SKM added in  area/feret data from Teresa rerunning analysis",45.9,1.3
"2024_Both02_Both06_O63","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both06",218.87268,124.22732,315.61842,173.98158,96.74574,49.75426,NA,NA,NA,NA,169.5,17.3,NA,186.6,17.7,NA,17.1,0.399999999999999
"2024_Both02_Both06_O64","Hyp","Warm","Hyp","Warm","Both","Both","Both02","Both06",158.07012,103.22988,102.49278,119.50722,-55.57734,16.27734,"Y",NA,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",114.9,14.4,NA,125.1,14.8,NA,10.2,0.4
"2024_Both02_Cont01_O3","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont01",141.12774,125.27226,94.89246,134.90754,-46.23528,9.63528,"Y",NA,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",71.7,12.1,NA,76.8,12.8,NA,5.09999999999999,0.700000000000001
"2024_Both02_Cont01_O4","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont01",172.16238,91.63762,332.24412,162.95588,160.08174,71.31826,NA,NA,NA,NA,95.9,12.7,NA,136.6,15.3,NA,40.7,2.6
"2024_Both02_Cont02_O15","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont02",391.30494,285.59506,666.6582,300.1418,275.35326,14.54674,NA,NA,NA,NA,350.6,26.5,NA,263.4,20.6,NA,-87.2,-5.9
"2024_Both02_Cont02_O16","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont02",1008.98928,477.01072,1885.55952,698.44048,876.57024,221.42976,NA,NA,NA,NA,482.7,30.1,NA,568.8,31.8,NA,86.1,1.7
"2024_Both02_Cont03_O27","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont03",346.33638,162.06362,663.96642,383.23358,317.63004,221.16996,NA,NA,NA,NA,223.8,18,NA,282.8,20.5,NA,59,2.5
"2024_Both02_Cont03_O28","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont03",230.74818,114.15182,454.95762,237.74238,224.20944,123.59056,NA,NA,NA,NA,134.8,15.1,NA,280.1,22.6,NA,145.3,7.5
"2024_Both02_Cont04_O39","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont04",385.92138,245.07862,688.66746,361.43254,302.74608,116.35392,NA,NA,NA,NA,248.2,21,NA,328.8,25.1,NA,80.6,4.1
"2024_Both02_Cont04_O40","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont04",146.98632,87.51368,311.9766,142.6234,164.99028,55.10972,NA,NA,NA,NA,126.4,14.8,NA,163.4,17.3,NA,37,2.5
"2024_Both02_Cont05_O51","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont05",233.75664,111.84336,508.3182,191.1818,274.56156,79.33844,NA,NA,NA,NA,169.2,17.1,NA,279.1,21.3,NA,109.9,4.2
"2024_Both02_Cont05_O52","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont05",230.58984,157.11016,360.2703,226.8297,129.68046,69.71954,NA,NA,NA,NA,129.7,13.5,NA,211,20.3,NA,81.3,6.8
"2024_Both02_Cont06_O63","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont06",294.5592,169.3408,305.80134,162.79866,11.24214,-6.54214,NA,NA,NA,NA,198.3,18.7,NA,159.2,17.9,NA,-39.1,-0.800000000000001
"2024_Both02_Cont06_O64","Hyp","Warm","Norm","Ambient","Both","Cont","Both02","Cont06",173.58744,92.31256,209.37228,117.52772,35.78484,25.21516,NA,NA,NA,NA,121.9,13.6,NA,132.5,14.3,NA,10.6,0.700000000000001
"2024_Both02_Hyp01_O3","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp01",228.0564,106.9436,381.32952,168.67048,153.27312,61.72688,NA,NA,NA,NA,140.6,15.9,NA,144.3,18.1,NA,3.70000000000002,2.2
"2024_Both02_Hyp01_O4","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp01",581.1546,382.8454,845.42406,492.07594,264.26946,109.23054,NA,NA,NA,NA,306.7,23.5,NA,387.9,26.2,NA,81.2,2.7
"2024_Both02_Hyp02_O15","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp02",518.45196,295.34804,917.78544,365.01456,399.33348,69.66652,NA,NA,NA,"9/27/24 SKM fixed 'P15' to be O15 and adjusted Phase 1 info",353.2,24,NA,370.9,25.7,"6/11/25 SKM added in unmatched data to correct corrected bee tag",17.7,1.7
"2024_Both02_Hyp02_O16","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp02",349.66152,314.73848,637.52364,456.47636,287.86212,141.73788,NA,NA,NA,NA,271.7,24,NA,324.8,23.5,NA,53.1,-0.5
"2024_Both02_Hyp03_O27","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp03",119.43516,72.16484,96.95088,78.64912,-22.48428,6.48428,"Y",NA,NA,"1/14/25 SKM Excluded due to negative shell growth, broken shell",110.6,13.6,NA,96.9,12,NA,-13.7,-1.6
"2024_Both02_Hyp03_O28","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp03",451.47414,269.32586,789.3717,435.2283,337.89756,165.90244,NA,NA,NA,NA,216.7,19,NA,375.2,23,NA,158.5,4
"2024_Both02_Hyp04_O39","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp04",561.52044,207.67956,876.93372,311.26628,315.41328,103.58672,NA,NA,NA,NA,225.1,18.8,NA,300.2,22.5,NA,75.1,3.7
"2024_Both02_Hyp04_O40","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp04",358.05354,164.54646,506.25978,230.34022,148.20624,65.79376,NA,NA,NA,NA,184.2,19.2,NA,228.3,20.5,NA,44.1,1.3
"2024_Both02_Hyp05_O51","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp05",62.5911,44.3089,NA,NA,NA,NA,"Y",NA,NA,NA,86.9,12,NA,NA,NA,NA,NA,NA
"2024_Both02_Hyp05_O52","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp05",273.81666,133.48334,423.6063,172.8937,149.78964,39.41036,NA,NA,NA,NA,161.5,16.3,NA,219.1,18.6,NA,57.6,2.3
"2024_Both02_Hyp06_O63","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp06",433.8984,229.6016,668.39994,334.40006,234.50154,104.79846,NA,NA,NA,NA,220.3,19.7,NA,267.6,21.2,NA,47.3,1.5
"2024_Both02_Hyp06_O64","Hyp","Warm","Hyp","Ambient","Both","Hyp","Both02","Hyp06",158.22846,109.77154,250.224,161.076,91.99554,51.30446,NA,NA,NA,NA,130.1,14.3,NA,154.5,15.8,NA,24.4,1.5
"2024_Both02_Warm01_O3","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm01",206.36382,121.13618,347.6031,176.1969,141.23928,55.06072,NA,NA,NA,NA,158.9,16.6,NA,193.9,17.2,NA,35,0.599999999999998
"2024_Both02_Warm01_O4","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm01",328.28562,281.41438,560.88708,397.71292,232.60146,116.29854,NA,NA,NA,NA,187.2,19.5,NA,237.9,23,NA,50.7,3.5
"2024_Both02_Warm02_O15","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm02",219.82272,101.87728,459.54948,175.05052,239.72676,73.17324,NA,NA,NA,NA,122.8,14.6,NA,191.2,16.6,NA,68.4,2
"2024_Both02_Warm02_O16","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm02",261.94116,179.25884,645.91566,280.08434,383.9745,100.8255,NA,NA,NA,NA,150.8,16.2,NA,247.6,20.7,NA,96.8,4.5
"2024_Both02_Warm03_O27","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm03",179.12934,166.57066,421.54788,382.05212,242.41854,215.48146,NA,NA,NA,NA,186,17.9,NA,316.7,25.7,NA,130.7,7.8
"2024_Both02_Warm03_O28","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm03",275.71674,193.98326,446.72394,267.77606,171.0072,73.7928,NA,NA,NA,NA,236.4,19.5,NA,283.5,20.5,NA,47.1,1
"2024_Both02_Warm04_O39","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm04",629.13162,373.76838,1309.99362,656.00638,680.862,282.238,NA,NA,NA,NA,426.3,25.9,NA,477.3,29.1,NA,51,3.2
"2024_Both02_Warm04_O40","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm04",143.02782,95.47218,290.44236,159.15764,147.41454,63.68546,NA,NA,NA,NA,112.9,14.4,NA,166.3,16.6,NA,53.4,2.2
"2024_Both02_Warm05_O51","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm05",99.48432,71.31568,NA,NA,NA,NA,"Y",NA,NA,NA,88.1,12.1,NA,NA,NA,NA,NA,NA
"2024_Both02_Warm05_O52","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm05",475.38348,295.11652,710.83506,353.76494,235.45158,58.64842,NA,NA,NA,NA,233.5,20.3,NA,344.9,23.9,NA,111.4,3.6
"2024_Both02_Warm06_O63","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm06",504.04302,392.05698,777.65454,456.14546,273.61152,64.08848,NA,NA,NA,NA,247.4,25.8,NA,312.2,24,NA,64.8,-1.8
"2024_Both02_Warm06_O64","Hyp","Warm","Norm","Warm","Both","Warm","Both02","Warm06",324.16878,251.43122,556.77024,337.02976,232.60146,85.59854,NA,NA,NA,NA,257.8,21.3,NA,298.1,21.9,NA,40.3,0.599999999999998
"2024_Both03_Both01_O5","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both01",178.65432,111.84568,272.3916,155.5084,93.73728,43.66272,NA,NA,NA,NA,144,15.6,NA,195.1,17.8,NA,51.1,2.2
"2024_Both03_Both01_O6","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both01",634.9902,437.8098,914.4603,546.4397,279.4701,108.6299,NA,NA,NA,NA,395.4,27.2,"6/12/25 SKM added in unmatched data from ""extras"" to match extras areas to corresponding phase and tag information",424.3,27.3,NA,28.9,0.100000000000001
"2024_Both03_Both02_O17","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both02",393.99672,279.80328,656.20776,373.39224,262.21104,93.58896,NA,NA,NA,NA,258.9,23.5,NA,265.3,23.7,NA,6.40000000000003,0.199999999999999
"2024_Both03_Both02_O18","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both02",201.29694,166.30306,431.04828,252.05172,229.75134,85.74866,NA,NA,NA,NA,194.5,18,NA,277,22,NA,82.5,4
"2024_Both03_Both03_O29","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both03",696.42612,486.17388,946.92,621.48,250.49388,135.30612,NA,NA,NA,NA,297.1,20.6,NA,389,23.9,NA,91.9,3.3
"2024_Both03_Both03_O30","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both03",122.7603,88.1397,273.975,187.125,151.2147,98.9853,NA,NA,NA,NA,118.2,15.1,NA,236,19.7,NA,117.8,4.6
"2024_Both03_Both04_O41","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both04",146.82798,94.87202,344.75298,211.04702,197.925,116.175,NA,NA,NA,NA,131.5,15,"6/16/25 SKM changed to correct area/feret away from the information fromO43",240.8,20.1,NA,109.3,5.1
"2024_Both03_Both04_O42","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both04",121.81026,72.58974,226.63134,119.66866,104.82108,47.07892,NA,NA,NA,NA,97.4,12.5,NA,135.3,16,NA,37.9,3.5
"2024_Both03_Both05_O53","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both05",197.81346,109.08654,316.09344,161.20656,118.27998,52.12002,NA,NA,NA,"Missing oyster from this batch, must have taken for genetics",119.3,14.6,NA,160.4,17.1,NA,41.1,2.5
"2024_Both03_Both05_O54","Hyp","Warm","Hyp","Warm","Both","Both","Both03","Both05",172.47906,94.72094,352.66998,193.73002,180.19092,99.00908,NA,NA,NA,NA,136.2,15.1,NA,213.2,19,NA,77,3.9
