,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,Tag,P2Treatment,Shell#,Area_pre_mm2,Feret_pre_mm,NotesShell_Pre
1207,7/23/24,2024,Hyp,2,Warm,2,B,16,2024_Hyp02_Warm02_B16,205.2,516.2,,B16,Warm2,17,170.7,15.8,
68,7/23/24,2024,Hyp,3,Both,2,B,17,2024_Hyp03_Both02_B17,573.9,1630.5,,B17,Both2,8,598.3,30.6,
495,7/23/24,2024,Hyp,3,Cont,2,B,17,2024_Hyp03_Cont02_B17,302.7,931.7,,B17,Cont2,4,386.2,25.1,
842,7/23/24,2024,Hyp,3,Hyp,2,B,17,2024_Hyp03_Hyp02_B17,425.3,1100.5,,B17,Hyp2,14,419.9,28.4,
684,7/23/24,2024,Hyp,3,Warm,2,B,17,2024_Hyp03_Warm02_B17,187.4,487,,B17,Warm2,32,181.6,18.5,
72,7/23/24,2024,Hyp,3,Both,2,B,18,2024_Hyp03_Both02_B18,359.7,879.9,,B18,Both2,35,216.7,21.7,
499,7/23/24,2024,Hyp,3,Cont,2,B,18,2024_Hyp03_Cont02_B18,427.1,1117.6,,B18,Cont2,18,292.6,21.7,
846,7/23/24,2024,Hyp,3,Hyp,2,B,18,2024_Hyp03_Hyp02_B18,432.2,1061,,B18,Hyp2,15,317.6,23.4,
1214,7/23/24,2024,Hyp,3,Warm,2,B,18,2024_Hyp03_Warm02_B18,345.6,804.9,,B18,Warm2,43,284.3,20.3,
75,7/23/24,2024,Hyp,4,Both,2,B,19,2024_Hyp04_Both02_B19,325.9,803.6,,B19,Both2,27,304.4,23.3,
503,7/23/24,2024,Hyp,4,Cont,2,B,19,2024_Hyp04_Cont02_B19,396.8,1112.4,,B19,Cont2,43,396.5,24.5,
168,7/23/24,2024,Hyp,4,Hyp,2,B,19,2024_Hyp04_Hyp02_B19,110.9,311.8,,B19,Hyp2,42,186.8,19.9,
1216,7/23/24,2024,Hyp,4,Warm,2,B,19,2024_Hyp04_Warm02_B19,103.1,268.2,,B19,Warm2,45,151.5,15,
5,7/23/24,2024,Hyp,1,Both,1,B,2,2024_Hyp01_Both01_B2,157.2,435.6,,B2,Both1,16,178.6,17.5,
123,7/23/24,2024,Hyp,1,Cont,1,B,2,2024_Hyp01_Cont01_B2,102.8,255.5,,B2,Cont1,4,123.7,15.2,
305,7/23/24,2024,Hyp,1,Hyp,1,B,2,2024_Hyp01_Hyp01_B2,152.7,368,,B2,Hyp1,34,177.9,18,
1148,7/23/24,2024,Hyp,1,Warm,1,B,2,2024_Hyp01_Warm01_B2,87.6,226.3,,B2,Warm1,27,126.9,14.1,
79,7/23/24,2024,Hyp,4,Both,2,B,20,2024_Hyp04_Both02_B20,227.8,663.1,,B20,Both2,24,295.5,21.1,
507,7/23/24,2024,Hyp,4,Cont,2,B,20,2024_Hyp04_Cont02_B20,389.6,975.4,,B20,Cont2,7,352.2,26.2,
855,7/23/24,2024,Hyp,4,Hyp,2,B,20,2024_Hyp04_Hyp02_B20,385.1,1093.2,,B20,Hyp2,40,334.5,25.8,
1220,7/23/24,2024,Hyp,4,Warm,2,B,20,2024_Hyp04_Warm02_B20,112.8,325.8,,B20,Warm2,28,118.9,13.4,
81,7/23/24,2024,Hyp,5,Both,2,B,21,2024_Hyp05_Both02_B21,293.2,577.3,,B21,Both2,28,231.7,20.3,
511,7/23/24,2024,Hyp,5,Cont,2,B,21,2024_Hyp05_Cont02_B21,651.4,1675,,B21,Cont2,22,541.6,30.9,
859,7/23/24,2024,Hyp,5,Hyp,2,B,21,2024_Hyp05_Hyp02_B21,448.7,1146,,B21,Hyp2,38,476.4,30.4,
1224,7/23/24,2024,Hyp,5,Warm,2,B,21,2024_Hyp05_Warm02_B21,125.4,349.2,,B21,Warm2,48,164.9,16.4,
85,7/23/24,2024,Hyp,5,Both,2,B,22,2024_Hyp05_Both02_B22,121.8,312.3,,B22,Both2,36,144.9,15.4,
512,7/23/24,2024,Hyp,5,Cont,2,B,22,2024_Hyp05_Cont02_B22,198.4,564.4,,B22,Cont2,46,227.6,21.9,
864,7/23/24,2024,Hyp,5,Hyp,2,B,22,2024_Hyp05_Hyp02_B22,443.3,1164.2,,B22,Hyp2,45,399.9,25.7,
1228,7/23/24,2024,Hyp,5,Warm,2,B,22,2024_Hyp05_Warm02_B22,119.7,320.6,,B22,Warm2,42,155.5,17.1,
90,7/23/24,2024,Hyp,6,Both,2,B,23,2024_Hyp06_Both02_B23,312.8,903.5,,B23,Both2,26,412.6,28.8,
519,7/23/24,2024,Hyp,6,Cont,2,B,23,2024_Hyp06_Cont02_B23,392.2,1156,,B23,Cont2,29,419.7,27.8,
866,7/23/24,2024,Hyp,6,Hyp,2,B,23,2024_Hyp06_Hyp02_B23,256.9,634.1,,B23,Hyp2,20,308,24.4,
1234,7/23/24,2024,Hyp,6,Warm,2,B,23,2024_Hyp06_Warm02_B23,343.7,825.7,,B23,Warm2,40,265,21.1,
94,7/23/24,2024,Hyp,6,Both,2,B,24,2024_Hyp06_Both02_B24,269,643.9,,B24,Both2,7,262.9,20.7,
520,7/23/24,2024,Hyp,6,Cont,2,B,24,2024_Hyp06_Cont02_B24,189.8,499.1,,B24,Cont2,47,225.8,20.1,
871,7/23/24,2024,Hyp,6,Hyp,2,B,24,2024_Hyp06_Hyp02_B24,361.2,903.8,,B24,Hyp2,44,347.7,24.2,
1237,7/23/24,2024,Hyp,6,Warm,2,B,24,2024_Hyp06_Warm02_B24,317.6,864.7,,B24,Warm2,47,283.4,20.9,
99,7/24/24,2024,Hyp,1,Both,3,B,25,2024_Hyp01_Both03_B25,173.1,458.5,,B25,Both3,24,178.9,17.4,
526,7/24/24,2024,Hyp,1,Cont,3,B,25,2024_Hyp01_Cont03_B25,67.8,182.4,,B25,Cont3,43,109.3,13.8,
873,7/24/24,2024,Hyp,1,Hyp,3,B,25,2024_Hyp01_Hyp03_B25,170.6,416.3,,B25,Hyp3,3,202.5,17.6,
1242,7/24/24,2024,Hyp,1,Warm,3,B,25,2024_Hyp01_Warm03_B25,272.7,636.1,,B25,Warm3,41,288.2,23.9,
102,7/24/24,2024,Hyp,1,Both,3,B,26,2024_Hyp01_Both03_B26,128.3,334.3,,B26,Both3,23,141.8,15.5,
530,7/24/24,2024,Hyp,1,Cont,3,B,26,2024_Hyp01_Cont03_B26,192.5,461.2,,B26,Cont3,10,186.3,16.8,
109,7/24/24,2024,Hyp,1,Hyp,3,B,26,2024_Hyp01_Hyp03_B26,86.6,242.3,,B26,Hyp3,42,143.3,15.9,
126,7/24/24,2024,Hyp,1,Warm,3,B,26,2024_Hyp01_Warm03_B26,102.5,257.5,,B26,Warm3,30,105.1,14,
140,7/24/24,2024,Hyp,2,Both,3,B,27,2024_Hyp02_Both03_B27,140,369,,B27,Both3,19,175.1,16.2,
535,7/24/24,2024,Hyp,2,Cont,3,B,27,2024_Hyp02_Cont03_B27,299.5,818.4,,B27,Cont3,32,309.6,23.5,
882,7/24/24,2024,Hyp,2,Hyp,3,B,27,2024_Hyp02_Hyp03_B27,188.8,497.6,,B27,Hyp3,39,190.6,19.6,
1251,7/24/24,2024,Hyp,2,Warm,3,B,27,2024_Hyp02_Warm03_B27,449.3,1092.7,,B27,Warm3,18,382.4,25.8,
144,7/24/24,2024,Hyp,2,Both,3,B,28,2024_Hyp02_Both03_B28,112.2,299.4,,B28,Both3,32,127.5,14.6,
333,7/24/24,2024,Hyp,2,Cont,3,B,28,2024_Hyp02_Cont03_B28,170.5,387.3,,B28,Cont3,9,145.3,15.2,
138,7/24/24,2024,Hyp,2,Hyp,3,B,28,2024_Hyp02_Hyp03_B28,96.8,264.1,,B28,Hyp3,11,134.8,15.6,
1255,7/24/24,2024,Hyp,2,Warm,3,B,28,2024_Hyp02_Warm03_B28,311.1,798.4,,B28,Warm3,7,296.7,21.5,
110,7/24/24,2024,Hyp,3,Both,3,B,29,2024_Hyp03_Both03_B29,103.4,243.3,,B29,Both3,36,152.1,15.4,
331,7/24/24,2024,Hyp,3,Cont,3,B,29,2024_Hyp03_Cont03_B29,145.8,386.6,,B29,Cont3,16,160.3,16.5,
308,7/24/24,2024,Hyp,3,Hyp,3,B,29,2024_Hyp03_Hyp03_B29,132.2,369,,B29,Hyp3,41,201.6,18.5,
598,7/24/24,2024,Hyp,3,Warm,3,B,29,2024_Hyp03_Warm03_B29,194.6,479.7,,B29,Warm3,47,178.2,17.1,
10,7/23/24,2024,Hyp,2,Both,1,B,3,2024_Hyp02_Both01_B3,121.5,310.9,,B3,Both1,33,132.2,15.5,
439,7/23/24,2024,Hyp,2,Cont,1,B,3,2024_Hyp02_Cont01_B3,363.5,828,,B3,Cont1,26,225.9,19,
788,7/23/24,2024,Hyp,2,Hyp,1,B,3,2024_Hyp02_Hyp01_B3,385.1,947.5,,B3,Hyp1,32,309.9,23.1,
1154,7/23/24,2024,Hyp,2,Warm,1,B,3,2024_Hyp02_Warm01_B3,133.2,350.2,,B3,Warm1,45,179.1,19.1,
185,7/24/24,2024,Hyp,3,Both,3,B,30,2024_Hyp03_Both03_B30,199.2,530.5,,B30,Both3,31,208.6,17.9,
574,7/24/24,2024,Hyp,3,Cont,3,B,30,2024_Hyp03_Cont03_B30,123,295.4,,B30,Cont3,18,136,16.3,
895,7/24/24,2024,Hyp,3,Hyp,3,B,30,2024_Hyp03_Hyp03_B30,200.9,496.3,,B30,Hyp3,37,214.6,20.4,
1260,7/24/24,2024,Hyp,3,Warm,3,B,30,2024_Hyp03_Warm03_B30,99,234.5,,B30,Warm3,40,75.8,12.3,
189,7/24/24,2024,Hyp,4,Both,3,B,31,2024_Hyp04_Both03_B31,245.5,620.9,,B31,Both3,14,170.4,17,
579,7/24/24,2024,Hyp,4,Cont,3,B,31,2024_Hyp04_Cont03_B31,133,326.1,,B31,Cont3,36,116.2,14.3,
931,7/24/24,2024,Hyp,4,Hyp,3,B,31,2024_Hyp04_Hyp03_B31,215,541.1,,B31,Hyp3,43,281.5,21.2,
1267,7/24/24,2024,Hyp,4,Warm,3,B,31,2024_Hyp04_Warm03_B31,268.4,664.2,,B31,Warm3,8,254.7,19.5,
191,7/24/24,2024,Hyp,4,Both,3,B,32,2024_Hyp04_Both03_B32,223.7,531.8,,B32,Both3,15,168.9,17,
584,7/24/24,2024,Hyp,4,Cont,3,B,32,2024_Hyp04_Cont03_B32,256,578.3,,B32,Cont3,40,169.3,17.3,
936,7/24/24,2024,Hyp,4,Hyp,3,B,32,2024_Hyp04_Hyp03_B32,342,893.3,,B32,Hyp3,38,272.3,21.8,
1269,7/24/24,2024,Hyp,4,Warm,3,B,32,2024_Hyp04_Warm03_B32,101.7,229.9,,B32,Warm3,46,94.3,12.3,
195,7/24/24,2024,Hyp,5,Both,3,B,33,2024_Hyp05_Both03_B33,282.9,725.4,,B33,Both3,1,319.4,23,
588,7/24/24,2024,Hyp,5,Cont,3,B,33,2024_Hyp05_Cont03_B33,165.1,459.5,,B33,Cont3,22,229.2,18.8,
937,7/24/24,2024,Hyp,5,Hyp,3,B,33,2024_Hyp05_Hyp03_B33,83.8,228.1,,B33,Hyp3,5,131.7,14.3,
1275,7/24/24,2024,Hyp,5,Warm,3,B,33,2024_Hyp05_Warm03_B33,420.1,1166.3,,B33,Warm3,1,544.8,32.1,
198,7/24/24,2024,Hyp,5,Both,3,B,34,2024_Hyp05_Both03_B34,46.8,119.7,,B34,Both3,20,71.4,10.2,
592,7/24/24,2024,Hyp,5,Cont,3,B,34,2024_Hyp05_Cont03_B34,194.3,475.6,,B34,Cont3,41,188.9,17,
541,7/24/24,2024,Hyp,5,Hyp,3,B,34,2024_Hyp05_Hyp03_B34,176.6,437.8,,B34,Hyp3,28,173.3,16.3,
1277,7/24/24,2024,Hyp,5,Warm,3,B,34,2024_Hyp05_Warm03_B34,156.1,356.5,,B34,Warm3,23,179.7,16.3,
205,7/24/24,2024,Hyp,6,Both,3,B,35,2024_Hyp06_Both03_B35,509.4,1176.1,,B35,Both3,2,358.2,23.7,
357,7/24/24,2024,Hyp,6,Cont,3,B,35,2024_Hyp06_Cont03_B35,164.1,398.2,,B35,Cont3,8,176,16.2,
946,7/24/24,2024,Hyp,6,Hyp,3,B,35,2024_Hyp06_Hyp03_B35,168.9,419.3,,B35,Hyp3,29,184.8,17.2,
1283,7/24/24,2024,Hyp,6,Warm,3,B,35,2024_Hyp06_Warm03_B35,251.3,631.6,,B35,Warm3,10,221.1,19.1,
207,7/24/24,2024,Hyp,6,Both,3,B,36,2024_Hyp06_Both03_B36,186.2,488.5,,B36,Both3,28,193.3,17.8,
951,7/24/24,2024,Hyp,6,Hyp,3,B,36,2024_Hyp06_Hyp03_B36,311.2,786.5,,B36,Hyp3,1,265.3,21.1,
614,7/24/24,2024,Hyp,6,Cont,3,B,36,2024_Hyp06_Cont03_B36,106.3,270.7,,B36,Cont3,12,152.1,16.9,
1285,7/24/24,2024,Hyp,6,Warm,3,B,36,2024_Hyp06_Warm03_B36,119.5,286,,B36,Warm3,15,143.5,16.2,
211,7/24/24,2024,Hyp,1,Both,4,B,37,2024_Hyp01_Both04_B37,122.1,315.6,,B37,Both4,30,146.3,15,
621,7/24/24,2024,Hyp,1,Cont,4,B,37,2024_Hyp01_Cont04_B37,230.1,533.6,,B37,Cont4,29,186.7,17.7,
956,7/24/24,2024,Hyp,1,Hyp,4,B,37,2024_Hyp01_Hyp04_B37,346.3,810,,B37,Hyp4,19,272.3,21.6,
1291,7/24/24,2024,Hyp,1,Warm,4,B,37,2024_Hyp01_Warm04_B37,246.3,631.5,,B37,Warm4,23,195,17.6,
217,7/24/24,2024,Hyp,1,Both,4,B,38,2024_Hyp01_Both04_B38,233.9,564.3,,B38,Both4,1,146.8,17.1,
367,7/24/24,2024,Hyp,1,Cont,4,B,38,2024_Hyp01_Cont04_B38,174.7,405.3,,B38,Cont4,37,178,16.7,
960,7/24/24,2024,Hyp,1,Hyp,4,B,38,2024_Hyp01_Hyp04_B38,330.6,937.6,,B38,Hyp4,2,366.7,23.8,
313,7/24/24,2024,Hyp,1,Warm,4,B,38,2024_Hyp01_Warm04_B38,164.4,374.5,,B38,Warm4,3,148.4,15.9,
222,7/24/24,2024,Hyp,2,Both,4,B,39,2024_Hyp02_Both04_B39,242.3,650.7,,B39,Both4,8,273.7,21,
332,7/24/24,2024,Hyp,2,Cont,4,B,39,2024_Hyp02_Cont04_B39,162.6,387.1,,B39,Cont4,39,144.5,15.1,
963,7/24/24,2024,Hyp,2,Hyp,4,B,39,2024_Hyp02_Hyp04_B39,266.7,683,,B39,Hyp4,5,257.1,20.6,
303,7/24/24,2024,Hyp,2,Warm,4,B,39,2024_Hyp02_Warm04_B39,130.3,367.3,,B39,Warm4,14,181.7,18,
15,7/23/24,2024,Hyp,2,Both,1,B,4,2024_Hyp02_Both01_B4,169.1,429.1,,B4,Both1,43,166.3,16.3,
369,7/23/24,2024,Hyp,2,Cont,1,B,4,2024_Hyp02_Cont01_B4,174.8,406.2,,B4,Cont1,34,147.1,14.9,
792,7/23/24,2024,Hyp,2,Hyp,1,B,4,2024_Hyp02_Hyp01_B4,401.1,1007.5,,B4,Hyp1,13,359.3,23.8,
1156,7/23/24,2024,Hyp,2,Warm,1,B,4,2024_Hyp02_Warm01_B4,131.5,350.1,,B4,Warm1,8,160.8,16.9,
225,7/24/24,2024,Hyp,2,Both,4,B,40,2024_Hyp02_Both04_B40,280,655.9,,B40,Both4,12,224.5,19.9,
632,7/24/24,2024,Hyp,2,Cont,4,B,40,2024_Hyp02_Cont04_B40,247.1,636.7,,B40,Cont4,41,257.2,21.5,
965,7/24/24,2024,Hyp,2,Hyp,4,B,40,2024_Hyp02_Hyp04_B40,87.6,223.1,,B40,Hyp4,45,128.6,14.5,
1301,7/24/24,2024,Hyp,2,Warm,4,B,40,2024_Hyp02_Warm04_B40,209.2,507.9,,B40,Warm4,11,195.3,17.4,
229,7/24/24,2024,Hyp,3,Both,4,B,41,2024_Hyp03_Both04_B41,204.8,490.7,,B41,Both4,23,146.4,16.5,
635,7/24/24,2024,Hyp,3,Cont,4,B,41,2024_Hyp03_Cont04_B41,181.5,530.6,,B41,Cont4,17,197.6,17.4,
695,7/24/24,2024,Hyp,3,Hyp,4,B,41,2024_Hyp03_Hyp04_B41,197.3,493.8,,B41,Hyp4,7,190.9,19.1,
1306,7/24/24,2024,Hyp,3,Warm,4,B,41,2024_Hyp03_Warm04_B41,288.2,705.8,,B41,Warm4,35,268.4,21.5,
234,7/24/24,2024,Hyp,3,Both,4,B,42,2024_Hyp03_Both04_B42,177.8,423.5,,B42,Both4,27,164.8,15.9,
641,7/24/24,2024,Hyp,3,Cont,4,B,42,2024_Hyp03_Cont04_B42,327.3,877.3,,B42,Cont4,9,312,22.6,
976,7/24/24,2024,Hyp,3,Hyp,4,B,42,2024_Hyp03_Hyp04_B42,544.2,1486.2,,B42,Hyp4,17,444.9,29.6,
666,7/25/24,2024,Hyp,3,Cont,5,B,42,2024_Hyp02_Cont05_B52,89.6,277.5,,B52,Cont5,35,144.1,15.6,Misnoted on datasheet.  Should be B52 as on shell.
1311,7/24/24,2024,Hyp,3,Warm,4,B,42,2024_Hyp03_Warm04_B42,186.1,497.8,,B42,Warm4,16,175.7,17.5,
235,7/24/24,2024,Hyp,4,Both,4,B,43,2024_Hyp04_Both04_B43,133.5,345.7,,B43,Both4,11,156.7,15.9,
644,7/24/24,2024,Hyp,4,Cont,4,B,43,2024_Hyp04_Cont04_B43,203.6,660.8,,B43,Cont4,45,275.9,22.3,
148,7/24/24,2024,Hyp,4,Hyp,4,B,43,2024_Hyp04_Hyp04_B43,138.2,304.2,,B43,Hyp4,38,118.7,13.9,
900,7/24/24,2024,Hyp,4,Warm,4,B,43,2024_Hyp04_Warm04_B43,225,528.7,,B43,Warm4,6,198.1,17.2,
240,7/24/24,2024,Hyp,4,Both,4,B,44,2024_Hyp04_Both04_B44,127.9,323.4,,B44,Both4,14,128.9,14.4,
646,7/24/24,2024,Hyp,4,Cont,4,B,44,2024_Hyp04_Cont04_B44,105.8,274.5,,B44,Cont4,43,130.8,14.2,
984,7/24/24,2024,Hyp,4,Hyp,4,B,44,2024_Hyp04_Hyp04_B44,345.8,886.2,,B44,Hyp4,21,307.9,23.4,
1316,7/24/24,2024,Hyp,4,Warm,4,B,44,2024_Hyp04_Warm04_B44,165.6,317.1,,B44,Warm4,24,192.5,17.8,
243,7/24/24,2024,Hyp,5,Both,4,B,45,2024_Hyp05_Both04_B45,113.5,288.1,,B45,Both4,48,118.9,15.5,
652,7/24/24,2024,Hyp,5,Cont,4,B,45,2024_Hyp05_Cont04_B45,228.5,593.4,,B45,Cont4,36,188.6,19,
985,7/24/24,2024,Hyp,5,Hyp,4,B,45,2024_Hyp05_Hyp04_B45,140.7,337.5,,B45,Hyp4,31,144,15.1,
1323,7/24/24,2024,Hyp,5,Warm,4,B,45,2024_Hyp05_Warm04_B45,374.5,1000.7,,B45,Warm4,1,349.8,24.9,
127,7/24/24,2024,Hyp,5,Both,4,B,46,2024_Hyp05_Both04_B46,106.1,259.4,,B46,Both4,16,123.5,14.1,
655,7/24/24,2024,Hyp,5,Cont,4,B,46,2024_Hyp05_Cont04_B46,131.6,336.5,,B46,Cont4,13,139.4,14.6,
347,7/24/24,2024,Hyp,5,Hyp,4,B,46,2024_Hyp05_Hyp04_B46,146,393.2,,B46,Hyp4,27,189.2,17.4,
329,7/24/24,2024,Hyp,5,Warm,4,B,46,2024_Hyp05_Warm04_B46,146.3,386,,B46,Warm4,40,156.8,16.7,
252,7/24/24,2024,Hyp,6,Both,4,B,47,2024_Hyp06_Both04_B47,131.9,328,,B47,Both4,33,145.6,15.4,
995,7/24/24,2024,Hyp,6,Hyp,4,B,47,2024_Hyp06_Hyp04_B47,186.6,469.5,,B47,Hyp4,14,181,16.7,
1328,7/24/24,2024,Hyp,6,Warm,4,B,47,2024_Hyp06_Warm04_B47,88.6,227.3,,B47,Warm4,7,119.4,14.2,
257,7/24/24,2024,Hyp,6,Both,4,B,48,2024_Hyp06_Both04_B48,265.4,648.1,,B48,Both4,31,205.8,18.2,
661,7/24/24,2024,Hyp,6,Cont,4,B,48,2024_Hyp06_Cont04_B48,51.3,136.7,,B48,Cont4,46,90.9,13,
998,7/24/24,2024,Hyp,6,Hyp,4,B,48,2024_Hyp06_Hyp04_B48,176,408.8,,B48,Hyp4,32,189.8,17.1,
901,7/24/24,2024,Hyp,6,Warm,4,B,48,2024_Hyp06_Warm04_B48,216.3,529.3,,B48,Warm4,15,187.2,17.2,
259,7/25/24,2024,Hyp,1,Both,5,B,49,2024_Hyp01_Both05_B49,245.6,546.8,,B49,Both5,28,211.4,18.1,
670,7/25/24,2024,Hyp,1,Cont,5,B,49,2024_Hyp01_Cont05_B49,277.2,725.8,,B49,Cont5,2,299.3,23.3,
1125,7/25/24,2024,Hyp,1,Warm,5,B,49,2024_Hyp01_Warm05_B49,244.6,641.4,,B49,Warm5,12,252.1,20.4,
19,7/23/24,2024,Hyp,3,Both,1,B,5,2024_Hyp03_Both01_B5,316.6,805.4,,B5,Both1,12,262.4,19.7,
449,7/23/24,2024,Hyp,3,Cont,1,B,5,2024_Hyp03_Cont01_B5,324.6,858.7,,B5,Cont1,22,233.7,19.4,
794,7/23/24,2024,Hyp,3,Hyp,1,B,5,2024_Hyp03_Hyp01_B5,117.3,292.1,,B5,Hyp1,10,143.8,16.1,
1161,7/23/24,2024,Hyp,3,Warm,1,B,5,2024_Hyp03_Warm01_B5,222,727.1,,B5,Warm1,13,236.1,21.7,
263,7/25/24,2024,Hyp,1,Both,5,B,50,2024_Hyp01_Both05_B50,99,319.5,,B50,Both5,17,153,15.2,
325,7/25/24,2024,Hyp,1,Hyp,5,B,50,2024_Hyp01_Hyp05_B50,148.1,382.6,,B50,Hyp5,22,180.4,18,
671,7/25/24,2024,Hyp,1,Cont,5,B,50,2024_Hyp01_Cont05_B50,107.1,280.8,,B50,Cont5,37,140.5,14.9,
559,7/25/24,2024,Hyp,1,Warm,5,B,50,2024_Hyp01_Warm05_B50,174.7,445.1,,B50,Warm5,22,200.7,18.9,
269,7/25/24,2024,Hyp,2,Both,5,B,51,2024_Hyp02_Both05_B51,227.9,592.8,wet,B51,Both5,33,228.6,19,
678,7/25/24,2024,Hyp,2,Cont,5,B,51,2024_Hyp02_Cont05_B51,249.7,646.9,,B51,Cont5,13,244.1,19.7,
1010,7/25/24,2024,Hyp,2,Hyp,5,B,51,2024_Hyp02_Hyp05_B51,132.2,408.1,,B51,Hyp5,20,125.3,13.8,
1347,7/25/24,2024,Hyp,2,Warm,5,B,51,2024_Hyp02_Warm05_B51,212.5,586,,B51,Warm5,19,246.1,20.4,
272,7/25/24,2024,Hyp,2,Both,5,B,52,2024_Hyp02_Both05_B52,171.3,451,,B52,Both5,35,189.3,18.5,
